period,value,unit,unit_multiplier,status
2010-11,97.19,percent,0,final
2010-12,94.83,percent,0,final
2011-01,95.78,percent,0,final
2011-02,97.06,percent,0,final
2011-03,96.82,percent,0,final
2011-04,96.89,percent,0,final
2011-05,97.08,percent,0,final
2011-06,97.1,percent,0,final
2011-07,97.59,percent,0,final
2011-08,97.44,percent,0,final
2011-09,96.89,percent,0,final
2011-10,96.62,percent,0,final
2011-11,96.6,percent,0,final
2011-12,95.8,percent,0,final
2012-01,95.76,percent,0,final
2012-02,94.99,percent,0,final
2012-03,96.54,percent,0,final
2012-04,96.35,percent,0,final
2012-05,96.81,percent,0,final
2012-06,96.75,percent,0,final
2012-07,97.07,percent,0,final
2012-08,97.04,percent,0,final
2012-09,96.69,percent,0,final
2012-10,96.24,percent,0,final
2012-11,96.01,percent,0,final
2012-12,94.67,percent,0,final
2013-01,94.54,percent,0,final
2013-02,94.29,percent,0,final
2013-03,93.51,percent,0,final
2013-04,93.44,percent,0,final
2013-05,96.57,percent,0,final
2013-06,96.92,percent,0,final
2013-07,96.68,percent,0,final
2013-08,96.28,percent,0,final
2013-09,95.79,percent,0,final
2013-10,95.67,percent,0,final
2013-11,95.92,percent,0,final
2013-12,95.28,percent,0,final
2014-01,95.17,percent,0,final
2014-02,94.64,percent,0,final
2014-03,95.62,percent,0,final
2014-04,95.26,percent,0,final
2014-05,94.83,percent,0,final
2014-06,95.22,percent,0,final
2014-07,95.17,percent,0,final
2014-08,95.11,percent,0,final
2014-09,94.61,percent,0,final
2014-10,93.71,percent,0,final
2014-11,93.46,percent,0,final
2014-12,89.89,percent,0,final
2015-01,91.16,percent,0,final
2015-02,91.97,percent,0,final
2015-03,92.73,percent,0,final
2015-04,93.28,percent,0,final
2015-05,94.31,percent,0,final
2015-06,94.8,percent,0,final
2015-07,95.01,percent,0,final
2015-08,94.29,percent,0,final
2015-09,93.38,percent,0,final
2015-10,92.33,percent,0,final
2015-11,91.28,percent,0,final
2015-12,90.97,percent,0,final
2016-01,88.66,percent,0,final
2016-02,87.75,percent,0,final
2016-03,87.27,percent,0,final
2016-04,90.04,percent,0,final
2016-05,90.28,percent,0,final
2016-06,90.56,percent,0,final
2016-07,90.29,percent,0,final
2016-08,90.98,percent,0,final
2016-09,90.65,percent,0,final
2016-10,89.05,percent,0,final
2016-11,88.38,percent,0,final
2016-12,86.18,percent,0,final
2017-01,85.14,percent,0,final
2017-02,87.53,percent,0,final
2017-03,90.01,percent,0,final
2017-04,90.52,percent,0,final
2017-05,89.7,percent,0,final
2017-06,90.73,percent,0,final
2017-07,90.35,percent,0,final
2017-08,90.3,percent,0,final
2017-09,89.67,percent,0,final
2017-10,89.94,percent,0,final
2017-11,88.77,percent,0,final
2017-12,84.99,percent,0,final
2018-01,85.3,percent,0,final
2018-02,85.04,percent,0,final
2018-03,84.62,percent,0,final
2018-04,88.57,percent,0,final
2018-05,90.39,percent,0,final
2018-06,90.76,percent,0,final
2018-07,89.32,percent,0,final
2018-08,89.73,percent,0,final
2018-09,88.94,percent,0,final
2018-10,89.01,percent,0,final
2018-11,87.6,percent,0,final
2018-12,86.45,percent,0,final
2019-01,84.35,percent,0,final
2019-02,84.23,percent,0,final
2019-03,86.61,percent,0,final
2019-04,85.13,percent,0,final
2019-05,86.63,percent,0,final
2019-06,86.37,percent,0,final
2019-07,86.49,percent,0,final
2019-08,86.29,percent,0,final
2019-09,85.24,percent,0,final
2019-10,83.64,percent,0,final
2019-11,81.44,percent,0,final
2019-12,79.81,percent,0,final
2020-01,81.68,percent,0,final
2020-02,82.79,percent,0,final
2020-03,84.28,percent,0,final
2020-04,90.44,percent,0,final
2020-05,93.51,percent,0,final
2020-06,92.78,percent,0,final
2020-07,91.99,percent,0,final
2020-08,89.17,percent,0,final
2020-09,87.3,percent,0,final
2020-10,84.43,percent,0,final
2020-11,83.85,percent,0,final
2020-12,80.28,percent,0,final
2021-01,78.51,percent,0,final
2021-02,83.92,percent,0,final
2021-03,86.14,percent,0,final
2021-04,85.36,percent,0,final
2021-05,83.69,percent,0,final
2021-06,81.3,percent,0,final
2021-07,77.72,percent,0,final
2021-08,77.02,percent,0,final
2021-09,75.22,percent,0,final
2021-10,73.93,percent,0,final
2021-11,74.06,percent,0,final
2021-12,73.43,percent,0,final
2022-01,74.35,percent,0,final
2022-02,73.28,percent,0,final
2022-03,71.63,percent,0,final
2022-04,72.25,percent,0,final
2022-05,72.84,percent,0,final
2022-06,72.06,percent,0,final
2022-07,71.08,percent,0,final
2022-08,71.69,percent,0,final
2022-09,71.06,percent,0,final
2022-10,69.53,percent,0,final
2022-11,69.01,percent,0,final
2022-12,65.2,percent,0,final
2023-01,72.51,percent,0,final
2023-02,71.51,percent,0,final
2023-03,71.53,percent,0,final
