period,value,unit,unit_multiplier,status
1999,475000,number,0,final
1999,477000,number,0,final
1999,480000,number,0,final
1999,482000,number,0,final
2000,485000,number,0,final
2000,488000,number,0,final
2000,491000,number,0,final
2000,493000,number,0,final
2001,494000,number,0,final
2001,493000,number,0,final
2001,492000,number,0,final
2001,496000,number,0,final
2002,502000,number,0,final
2002,506000,number,0,final
2002,510000,number,0,final
2002,516000,number,0,final
2003,521000,number,0,final
2003,525000,number,0,final
2003,527000,number,0,final
2003,529000,number,0,final
2004,534000,number,0,final
2004,534000,number,0,final
2004,534000,number,0,final
2004,529000,number,0,final
2005,525000,number,0,final
2005,532000,number,0,final
2005,530000,number,0,final
2005,525000,number,0,final
2006,521000,number,0,final
2006,519000,number,0,final
2006,515000,number,0,final
2006,510000,number,0,final
2007,504000,number,0,final
2007,500000,number,0,final
2007,495000,number,0,final
2007,491000,number,0,final
2008,485000,number,0,final
2008,484000,number,0,final
2008,483000,number,0,final
2008,484000,number,0,final
2009,485000,number,0,final
2009,487000,number,0,final
2009,493000,number,0,final
2009,493000,number,0,final
2010,487000,number,0,final
2010,481000,number,0,final
2010,473000,number,0,final
2010,465000,number,0,final
2011,465000,number,0,final
2011,447000,number,0,final
2011,439000,number,0,final
2011,430000,number,0,final
2012,424000,number,0,final
2012,418000,number,0,final
2012,415000,number,0,final
2012,411000,number,0,final
2013,409000,number,0,final
2013,410000,number,0,final
2013,407000,number,0,final
2013,405000,number,0,final
2014,401000,number,0,final
2014,403000,number,0,final
2014,401000,number,0,final
2014,400000,number,0,final
2015,400000,number,0,final
2015,392000,number,0,final
2015,387000,number,0,final
2015,386000,number,0,final
2016,387000,number,0,final
2016,384000,number,0,final
2016,385000,number,0,final
2016,385000,number,0,final
2017,389000,number,0,final
2017,392000,number,0,final
2017,392000,number,0,final
2017,396000,number,0,final
2018,399000,number,0,final
2018,400000,number,0,final
2018,404000,number,0,final
2018,409000,number,0,final
2019,414000,number,0,final
2019,416000,number,0,final
2019,419000,number,0,final
2019,421000,number,0,final
2020,423000,number,0,final
2020,426000,number,0,final
2020,431000,number,0,final
2020,441000,number,0,final
2021,468000,number,0,final
2021,465000,number,0,final
2021,473000,number,0,final
2021,475000,number,0,final
2022,480000,number,0,final
2022,479000,number,0,final
2022,481000,number,0,final
2022,483000,number,0,final
2023,489000,number,0,final
2023,489000,number,0,final
2023,496000,number,0,final
2023,502000,number,0,final
2024,511000,number,0,final
2024,513000,number,0,final
2024,515000,number,0,final
2024,514000,number,0,final
2025,516000,number,0,final
2025,517000,number,0,final
2025,520000,number,0,final
2025,521000,number,0,final
2026,524000,number,0,final
