period,value,unit,unit_multiplier,status
1997-01,37.825,GBP,9,final
1997-04,38.04,GBP,9,final
1997-07,40.957,GBP,9,final
1997-10,41.619,GBP,9,final
1998-01,42.028,GBP,9,final
1998-04,42.503,GBP,9,final
1998-07,41.933,GBP,9,final
1998-10,42.52,GBP,9,final
1999-01,43.428000000000004,GBP,9,final
1999-04,43.043,GBP,9,final
1999-07,42.939,GBP,9,final
1999-10,42.381,GBP,9,final
2000-01,44.594,GBP,9,final
2000-04,47.936,GBP,9,final
2000-07,43.712,GBP,9,final
2000-10,45.78,GBP,9,final
2001-01,43.112,GBP,9,final
2001-04,47.836,GBP,9,final
2001-07,46.997,GBP,9,final
2001-10,45.091,GBP,9,final
2002-01,43.722,GBP,9,final
2002-04,42.992000000000004,GBP,9,final
2002-07,45.703,GBP,9,final
2002-10,47.474000000000004,GBP,9,final
2003-01,47.410000000000004,GBP,9,final
2003-04,43.668,GBP,9,final
2003-07,44.102000000000004,GBP,9,final
2003-10,43.762,GBP,9,final
2004-01,44.042,GBP,9,final
2004-04,41.63,GBP,9,final
2004-07,41.97,GBP,9,final
2004-10,43.06,GBP,9,final
2005-01,45.364000000000004,GBP,9,final
2005-04,66.508,GBP,9,final
2005-07,48.527,GBP,9,final
2005-10,49.209,GBP,9,final
2006-01,51.842,GBP,9,final
2006-04,49.901,GBP,9,final
2006-07,51.539,GBP,9,final
2006-10,49.386,GBP,9,final
2007-01,51.948,GBP,9,final
2007-04,55.519,GBP,9,final
2007-07,54.051,GBP,9,final
2007-10,57.624,GBP,9,final
2008-01,52.099000000000004,GBP,9,final
2008-04,57.108000000000004,GBP,9,final
2008-07,54.942,GBP,9,final
2008-10,52.434000000000005,GBP,9,final
2009-01,48.456,GBP,9,final
2009-04,46.751,GBP,9,final
2009-07,45.581,GBP,9,final
2009-10,45.414,GBP,9,final
2010-01,47.159,GBP,9,final
2010-04,46.055,GBP,9,final
2010-07,47.527,GBP,9,final
2010-10,50.337,GBP,9,final
2011-01,47.06,GBP,9,final
2011-04,49.334,GBP,9,final
2011-07,50.839,GBP,9,final
2011-10,52.186,GBP,9,final
2012-01,53.782000000000004,GBP,9,final
2012-04,51.078,GBP,9,final
2012-07,51.746,GBP,9,final
2012-10,55.124,GBP,9,final
2013-01,53.732,GBP,9,final
2013-04,54.767,GBP,9,final
2013-07,56.747,GBP,9,final
2013-10,56.008,GBP,9,final
2014-01,56.781,GBP,9,final
2014-04,58.52,GBP,9,final
2014-07,59.208,GBP,9,final
2014-10,61.217,GBP,9,final
2015-01,64.003,GBP,9,final
2015-04,63.366,GBP,9,final
2015-07,62.704,GBP,9,final
2015-10,66.35,GBP,9,final
2016-01,69.139,GBP,9,final
2016-04,68.302,GBP,9,final
2016-07,70.982,GBP,9,final
2016-10,67.816,GBP,9,final
2017-01,69.404,GBP,9,final
2017-04,68.843,GBP,9,final
2017-07,69.659,GBP,9,final
2017-10,70.956,GBP,9,final
2018-01,71.08800000000001,GBP,9,final
2018-04,69.104,GBP,9,final
2018-07,67.423,GBP,9,final
2018-10,68.57300000000001,GBP,9,final
2019-01,69.82900000000001,GBP,9,final
2019-04,70.786,GBP,9,final
2019-07,70.141,GBP,9,final
2019-10,69.468,GBP,9,final
2020-01,68.45700000000001,GBP,9,final
2020-04,55.285000000000004,GBP,9,final
2020-07,63.375,GBP,9,final
2020-10,67.292,GBP,9,final
2021-01,65.103,GBP,9,final
2021-04,67.598,GBP,9,final
2021-07,67.169,GBP,9,final
2021-10,69.682,GBP,9,final
2022-01,71.183,GBP,9,final
2022-04,72.087,GBP,9,final
2022-07,70.894,GBP,9,final
2022-10,70.06,GBP,9,final
2023-01,72.99,GBP,9,final
2023-04,73.232,GBP,9,final
2023-07,71.43,GBP,9,final
2023-10,72.935,GBP,9,final
2024-01,72.788,GBP,9,final
2024-04,74.776,GBP,9,final
2024-07,75.589,GBP,9,final
2024-10,75.028,GBP,9,final
2025-01,78.155,GBP,9,final
2025-04,77.77,GBP,9,final
2025-07,78.767,GBP,9,final
2025-10,76.412,GBP,9,final
2026-01,77.134,GBP,9,final
