period,value,unit,unit_multiplier,status
1970,22.0354796055169,percent,0,final
1971,22.1190814985212,percent,0,final
1972,20.8504790313575,percent,0,final
1973,22.6824655826145,percent,0,final
1974,27.1014923511334,percent,0,final
1975,25.6676903929572,percent,0,final
1976,28.3051564310545,percent,0,final
1977,29.9817181200934,percent,0,final
1978,28.3065550373081,percent,0,final
1979,27.6663891207132,percent,0,final
1980,26.8961069038285,percent,0,final
1981,26.2535027965141,percent,0,final
1982,25.9026311504881,percent,0,final
1983,26.0333968006291,percent,0,final
1984,27.8304888945254,percent,0,final
1985,28.1867599035806,percent,0,final
1986,25.1047432313538,percent,0,final
1987,24.6182889037536,percent,0,final
1988,22.1704755594904,percent,0,final
1989,22.6410077809473,percent,0,final
1990,23.3296356994703,percent,0,final
1991,22.5955537790563,percent,0,final
1992,22.923527381466,percent,0,final
1993,24.831931347088,percent,0,final
1994,26.0778732038283,percent,0,final
1995,25.6967602854533,percent,0,final
1996,26.2671449164796,percent,0,final
1997,25.6189888987303,percent,0,final
1998,24.3214027865864,percent,0,final
1999,24.2105152537386,percent,0,final
2000,25.5563430576261,percent,0,final
2001,25.4493099773846,percent,0,final
2002,24.4315052325124,percent,0,final
2003,23.9686749011091,percent,0,final
2004,23.9845291728171,percent,0,final
2005,25.2070017509366,percent,0,final
2006,27.412859926391,percent,0,final
2007,25.4079803883281,percent,0,final
2008,27.3794373670982,percent,0,final
2009,26.7073659504747,percent,0,final
2010,28.7463664387355,percent,0,final
2011,31.2649218986254,percent,0,final
2012,30.4995388300455,percent,0,final
2013,30.2076160154538,percent,0,final
2014,28.5320090066163,percent,0,final
2015,27.8790736176463,percent,0,final
2016,29.0615561502528,percent,0,final
2017,30.9738310965649,percent,0,final
2018,31.854534000688,percent,0,final
2019,31.9028602803155,percent,0,final
2020,29.9486520576829,percent,0,final
2021,29.2894071087705,percent,0,final
2022,34.0619283837069,percent,0,final
2023,31.9122697629938,percent,0,final
2024,31.0561435739375,percent,0,final
2025,30.5969582161816,percent,0,final
