period,value,unit,unit_multiplier,status
1970,1.13872859052871,percent,0,final
1971,1.19585291667596,percent,0,final
1972,0.710712760088409,percent,0,final
1973,1.41412745627602,percent,0,final
1974,2.12182327411176,percent,0,final
1975,1.37267618730267,percent,0,final
1976,1.29235580557936,percent,0,final
1977,1.68267205120844,percent,0,final
1978,1.12758624698224,percent,0,final
1979,1.47370581928106,percent,0,final
1980,1.79181968888777,percent,0,final
1981,1.08723167304469,percent,0,final
1982,1.05101856977298,percent,0,final
1983,1.05771880105628,percent,0,final
1984,-0.0752615937834715,percent,0,final
1985,1.11928039047476,percent,0,final
1986,1.42482066983063,percent,0,final
1987,1.75464033712155,percent,0,final
1988,2.90410516796534,percent,0,final
1989,2.92466121996993,percent,0,final
1990,3.78380567982468,percent,0,final
1991,2.03397301702108,percent,0,final
1992,1.95066544669245,percent,0,final
1993,1.85476418901581,percent,0,final
1994,1.71516994974045,percent,0,final
1995,2.15917152818541,percent,0,final
1996,2.27411515466645,percent,0,final
1997,3.26969165190333,percent,0,final
1998,6.6122467239177,percent,0,final
1999,7.67019369648798,percent,0,final
2000,9.81876940536536,percent,0,final
2001,3.38678339988188,percent,0,final
2002,5.01305498138785,percent,0,final
2003,1.74707721568844,percent,0,final
2004,3.58303251413023,percent,0,final
2005,9.90268786448172,percent,0,final
2006,7.4878491502754,percent,0,final
2007,6.74831602886359,percent,0,final
2008,8.60551599075423,percent,0,final
2009,0.598804602454409,percent,0,final
2010,2.67286674184503,percent,0,final
2011,1.00957357920277,percent,0,final
2012,1.71895853790766,percent,0,final
2013,1.94762104828418,percent,0,final
2014,1.90870445734316,percent,0,final
2015,1.53903424150931,percent,0,final
2016,11.9998637298189,percent,0,final
2017,4.64443540147576,percent,0,final
2018,-0.864867036878713,percent,0,final
2019,0.688204352262878,percent,0,final
2020,5.77039185007421,percent,0,final
2021,3.20643815254935,percent,0,final
2022,2.91635435189931,percent,0,final
2023,0.403116734836793,percent,0,final
2024,-0.350561573947678,percent,0,final
