period,value,unit,unit_multiplier,status
2007,20.8808205935258,percent,0,final
2008,20.6167865586516,percent,0,final
2009,20.4685287071557,percent,0,final
2010,23.3036586296348,percent,0,final
2011,23.3057218186911,percent,0,final
2012,23.460196722755,percent,0,final
2013,23.5876424891453,percent,0,final
2014,22.2044750130662,percent,0,final
2015,22.3335907744673,percent,0,final
2016,23.5591126028431,percent,0,final
2017,22.6194649609659,percent,0,final
2018,22.3331118559009,percent,0,final
2019,23.0942001089205,percent,0,final
2020,23.0073604990707,percent,0,final
2021,23.8654057182193,percent,0,final
2022,27.1597708192348,percent,0,final
2023,28.8917146113567,percent,0,final
2024,29.233260009076,percent,0,final
