period,value,unit,unit_multiplier,status
1996-01,58.3,index,0,final
1996-02,59.6,index,0,final
1996-03,59.8,index,0,final
1996-04,60.7,index,0,final
1996-05,60.2,index,0,final
1996-06,60.9,index,0,final
1996-07,60.7,index,0,final
1996-08,60.6,index,0,final
1996-09,61.6,index,0,final
1996-10,61.3,index,0,final
1996-11,61.7,index,0,final
1996-12,59.9,index,0,final
1997-01,60.9,index,0,final
1997-02,61.4,index,0,final
1997-03,62,index,0,final
1997-04,62.5,index,0,final
1997-05,62.1,index,0,final
1997-06,63.1,index,0,final
1997-07,63.1,index,0,final
1997-08,62.5,index,0,final
1997-09,62.6,index,0,final
1997-10,63.5,index,0,final
1997-11,63.6,index,0,final
1997-12,63.8,index,0,final
1998-01,63.9,index,0,final
1998-02,63.8,index,0,final
1998-03,63.5,index,0,final
1998-04,63.5,index,0,final
1998-05,64,index,0,final
1998-06,63.3,index,0,final
1998-07,63.9,index,0,final
1998-08,64.5,index,0,final
1998-09,64.2,index,0,final
1998-10,63.8,index,0,final
1998-11,64.1,index,0,final
1998-12,63.1,index,0,final
1999-01,64.4,index,0,final
1999-02,64,index,0,final
1999-03,63.8,index,0,final
1999-04,64.3,index,0,final
1999-05,65,index,0,final
1999-06,65.3,index,0,final
1999-07,65.2,index,0,final
1999-08,65.6,index,0,final
1999-09,65.4,index,0,final
1999-10,66,index,0,final
1999-11,66.4,index,0,final
1999-12,66.9,index,0,final
2000-01,68.2,index,0,final
2000-02,66.8,index,0,final
2000-03,67.2,index,0,final
2000-04,68.2,index,0,final
2000-05,67.5,index,0,final
2000-06,67.4,index,0,final
2000-07,67.1,index,0,final
2000-08,68.3,index,0,final
2000-09,68.2,index,0,final
2000-10,68.6,index,0,final
2000-11,68.7,index,0,final
2000-12,69.2,index,0,final
2001-01,69.9,index,0,final
2001-02,72,index,0,final
2001-03,72.3,index,0,final
2001-04,72.4,index,0,final
2001-05,73.9,index,0,final
2001-06,73.5,index,0,final
2001-07,73.9,index,0,final
2001-08,74.1,index,0,final
2001-09,74.5,index,0,final
2001-10,75,index,0,final
2001-11,75.9,index,0,final
2001-12,77.1,index,0,final
2002-01,76.4,index,0,final
2002-02,77.5,index,0,final
2002-03,77.4,index,0,final
2002-04,78.7,index,0,final
2002-05,78.1,index,0,final
2002-06,77.1,index,0,final
2002-07,78.5,index,0,final
2002-08,78.2,index,0,final
2002-09,78.6,index,0,final
2002-10,78.9,index,0,final
2002-11,79.5,index,0,final
2002-12,77.9,index,0,final
2003-01,78.3,index,0,final
2003-02,78.4,index,0,final
2003-03,78.7,index,0,final
2003-04,78.8,index,0,final
