period,value,unit,unit_multiplier,status
2010,68.7529948577933,GBP,9,final
2011,72.8622514546424,GBP,9,final
2012,76.4256637727392,GBP,9,final
2013,80.9993474180281,GBP,9,final
2014,84.6439387389786,GBP,9,final
2015,92.8240989632123,GBP,9,final
2016,97.355303225251,GBP,9,final
2017,100.925163626051,GBP,9,final
2018,104.132473484882,GBP,9,final
2019,108.120609161728,GBP,9,final
2020,104.733899801613,GBP,9,final
2021,116.020723290717,GBP,9,final
2022,126.648770852074,GBP,9,final
2023,135.865278248095,GBP,9,final
2024,145.793907368498,GBP,9,final
