period,value,unit,unit_multiplier,status
1995,23537000,number,0,final
1996,25163000,number,0,final
1997,25515000,number,0,final
1998,25745000,number,0,final
1999,25394000,number,0,final
2000,25209000,number,0,final
2001,22835000,number,0,final
2002,24180000,number,0,final
2003,24715000,number,0,final
2004,27755000,number,0,final
2005,29970000,number,0,final
2006,32713000,number,0,final
2007,32778000,number,0,final
2008,31888000,number,0,final
2009,31072000,number,0,final
2010,30398000,number,0,final
2011,31886000,number,0,final
2012,32221000,number,0,final
2013,33567000,number,0,final
2014,35337000,number,0,final
2015,36792000,number,0,final
2016,39129000,number,0,final
2017,41080000,number,0,final
2018,40283000,number,0,final
2019,40857000,number,0,final
2020,11101000,number,0,final
