period,value,unit,unit_multiplier,status
1990,11.4826602736329,number,0,final
1991,11.5554085892614,number,0,final
1992,11.6281569048898,number,0,final
1993,11.7009052205183,number,0,final
1994,11.7736535361468,number,0,final
1995,11.8464018517753,number,0,final
1996,11.9191501674038,number,0,final
1997,11.9918984830323,number,0,final
1998,12.0646467986608,number,0,final
1999,12.1373951142893,number,0,final
2000,12.2101434299177,number,0,final
2001,12.2535444136734,number,0,final
2002,12.296945397429,number,0,final
2003,12.3403463811846,number,0,final
2004,12.3837473649403,number,0,final
2005,12.4271483486959,number,0,final
2006,12.4705493324515,number,0,final
2007,12.5139503162072,number,0,final
2008,12.5573512999628,number,0,final
2009,12.6007522837184,number,0,final
2010,12.6441532674741,number,0,final
2011,12.7235150663415,number,0,final
2012,12.8028768652089,number,0,final
2013,12.8822386640764,number,0,final
2014,12.9616004629438,number,0,final
2015,13.0409622618113,number,0,final
2016,13.0574959699087,number,0,final
2017,13.0781631050304,number,0,final
2018,13.1153639482495,number,0,final
2019,13.1525647914686,number,0,final
2020,13.1856322076634,number,0,final
2021,13.2214553796553,number,0,final
2022,13.2554871243748,number,0,final
2023,13.2907130161617,number,0,final
