period,value,unit,unit_multiplier,status
1990,20.108565445179,number,0,final
1991,20.1617103890454,number,0,final
1992,19.9390318260776,number,0,final
1993,19.7163532631098,number,0,final
1994,19.4936747001421,number,0,final
1995,19.8226431508419,number,0,final
1996,19.0483175742065,number,0,final
1997,18.8256390112387,number,0,final
1998,18.6029604482709,number,0,final
1999,18.3802818853031,number,0,final
2000,17.8817798155015,number,0,final
2001,15.8040865771241,number,0,final
2002,16.3877890369293,number,0,final
2003,19.3544864435061,number,0,final
2004,15.5840021759095,number,0,final
2005,16.1136437372365,number,0,final
2006,13.4620257611205,number,0,final
2007,12.1370024293423,number,0,final
2008,11.9857659830594,number,0,final
2009,11.9881960643702,number,0,final
2010,12.5389789726342,number,0,final
2011,13.017005115073,number,0,final
2012,11.1751270771676,number,0,final
2013,12.4952891586025,number,0,final
2014,12.1572167997075,number,0,final
2015,10.4984654639443,number,0,final
2016,10.663101063838,number,0,final
2017,10.3650112571487,number,0,final
2018,10.6059076264199,number,0,final
2019,10.2890709531888,number,0,final
2020,9.52171570283834,number,0,final
2021,9.99579607939085,number,0,final
2022,10.016644435978,number,0,final
2023,9.46282991802458,number,0,final
