period,value,unit,unit_multiplier,status
2010-01,11.3,number,0,final
2011-01,12.02,number,0,final
2012-01,12.66,number,0,final
2013-01,13.49,number,0,final
2014-01,14.04,number,0,final
2015-01,13.83,number,0,final
2016-01,13.59,number,0,final
2017-01,14.4,number,0,final
2018-01,15.45,number,0,final
2019-01,16.97,number,0,final
2020-01,17.17,number,0,final
2021-01,18.9,number,0,final
2022-01,28.29,number,0,final
2023-01,30.38,number,0,final
2024-01,25.83,number,0,final
2025-01,25.75,number,0,final
