period,value,unit,unit_multiplier,status
1990,3597.3010525851,number,0,final
1991,3707.89443811568,number,0,final
1992,3684.81144729003,number,0,final
1993,3713.443124142,number,0,final
1994,3733.80487842151,number,0,final
1995,3729.55293237334,number,0,final
1996,3880.31355582242,number,0,final
1997,3760.81073205794,number,0,final
1998,3787.50885825831,number,0,final
1999,3784.31837908023,number,0,final
2000,3786.40281086309,number,0,final
2001,3785.6601241847,number,0,final
2002,3716.62337347063,number,0,final
2003,3764.06191688174,number,0,final
2004,3697.50381825103,number,0,final
2005,3689.55051742336,number,0,final
2006,3601.05090812166,number,0,final
2007,3443.58715993443,number,0,final
2008,3370.1581117517,number,0,final
2009,3144.00201324492,number,0,final
2010,3235.05383786127,number,0,final
2011,2973.83120573757,number,0,final
2012,3028.77223348044,number,0,final
2013,2962.343786375,number,0,final
2014,2768.00471923628,number,0,final
2015,2774.83945986659,number,0,final
2016,2697.02109894886,number,0,final
2017,2659.07639289685,number,0,final
2018,2632.23008890609,number,0,final
2019,2516.08673070511,number,0,final
2020,2317.54743041471,number,0,final
2021,2377.4766480833,number,0,final
2022,2253.30282671333,number,0,final
2023,2126.55279563942,number,0,final
2024,2069.37917526374,number,0,final
