period,value,unit,unit_multiplier,status
1990,603.6120319341461,number,0,final
1991,610.6166829366836,number,0,final
1992,594.1579108172493,number,0,final
1993,579.5767103654649,number,0,final
1994,573.201263312229,number,0,final
1995,565.3172343616607,number,0,final
1996,584.9038120849344,number,0,final
1997,560.866868465436,number,0,final
1998,565.2363777916096,number,0,final
1999,558.0159339850474,number,0,final
2000,565.6265804673885,number,0,final
2001,574.3503107364979,number,0,final
2002,556.1860859094879,number,0,final
2003,566.867642215544,number,0,final
2004,568.1083118239367,number,0,final
2005,564.5047899873645,number,0,final
2006,561.5546710748216,number,0,final
2007,552.4699915858359,number,0,final
2008,537.6450650229991,number,0,final
2009,486.7473773585229,number,0,final
2010,504.57809283308507,number,0,final
2011,461.5916980683844,number,0,final
2012,479.43185540811925,number,0,final
2013,469.1908708123448,number,0,final
2014,430.0086791885049,number,0,final
2015,413.8960370605916,number,0,final
2016,389.3617209470175,number,0,final
2017,377.4338298639948,number,0,final
2018,371.84365670758115,number,0,final
2019,358.5057128774606,number,0,final
2020,319.0610015166318,number,0,final
2021,337.0249509240238,number,0,final
2022,324.1514890270085,number,0,final
