period,value,unit,unit_multiplier,status
1990,0.7,percent,0,final
1991,0.6,percent,0,final
1992,0.8,percent,0,final
1993,0.8,percent,0,final
1994,1,percent,0,final
1995,1.1,percent,0,final
1996,0.9,percent,0,final
1997,1,percent,0,final
1998,1,percent,0,final
1999,0.9,percent,0,final
2000,1,percent,0,final
2001,0.8,percent,0,final
2002,1,percent,0,final
2003,0.9,percent,0,final
2004,1.1,percent,0,final
2005,1.4,percent,0,final
2006,1.6,percent,0,final
2007,1.8,percent,0,final
2008,2.4,percent,0,final
2009,3,percent,0,final
2010,3.2,percent,0,final
2011,4,percent,0,final
2012,4.2,percent,0,final
2013,5.2,percent,0,final
2014,6.6,percent,0,final
2015,7.7,percent,0,final
2016,7.7,percent,0,final
2017,8.8,percent,0,final
2018,10.2,percent,0,final
2019,11.4,percent,0,final
2020,13.6,percent,0,final
2021,12.2,percent,0,final
