period,value,unit,unit_multiplier,status
1996,29.4,percent,0,final
1997,28.9,percent,0,final
1998,28,percent,0,final
1999,28.9,percent,0,final
2000,28.1,percent,0,final
2001,29.2,percent,0,final
2002,28.5,percent,0,final
2003,28.5,percent,0,final
2004,28.7,percent,0,final
2005,25.8,percent,0,final
2006,26.1,percent,0,final
2007,25.5,percent,0,final
2008,25.4,percent,0,final
2009,26.2,percent,0,final
2010,29.2,percent,0,final
2011,30,percent,0,final
2012,31.6,percent,0,final
2013,32.1,percent,0,final
2014,33,percent,0,final
2015,31.4,percent,0,final
2016,31.1,percent,0,final
2017,31.2,percent,0,final
2018,32.3,percent,0,final
2019,32.3,percent,0,final
