period,value,unit,unit_multiplier,status
1971,5.03205013275146,percent,0,final
1972,5.15937995910645,percent,0,final
1973,5.44860982894897,percent,0,final
1974,5.39099979400635,percent,0,final
1975,6.26878023147583,percent,0,final
1976,6.42422008514404,percent,0,final
1977,6.06335020065308,percent,0,final
1980,5.07011985778809,percent,0,final
1981,5.2884202003479,percent,0,final
1982,5.1887001991272,percent,0,final
1983,5.06150007247925,percent,0,final
1984,4.89905977249146,percent,0,final
1985,4.5940899848938,percent,0,final
1986,4.38083982467651,percent,0,final
1987,4.37180995941162,percent,0,final
1988,4.26831007003784,percent,0,final
1989,4.12511014938354,percent,0,final
1990,4.05552005767822,percent,0,final
1991,4.1224799156189,percent,0,final
1992,4.3344898223877,percent,0,final
1994,4.850830078125,percent,0,final
1995,4.83926010131836,percent,0,final
1996,4.37826013565063,percent,0,final
1998,4.20707988739014,percent,0,final
1999,3.988450050354,percent,0,final
2000,4.01820993423462,percent,0,final
2001,4.1001501083374,percent,0,final
2002,4.61190986633301,percent,0,final
2003,4.8012900352478,percent,0,final
2004,4.73555994033813,percent,0,final
2005,4.92975997924805,percent,0,final
2006,4.97648000717163,percent,0,final
2007,4.9244499206543,percent,0,final
2008,4.90972995758057,percent,0,final
2009,5.06263017654419,percent,0,final
2010,5.69868993759155,percent,0,final
2011,5.57219982147217,percent,0,final
2013,5.52529001235962,percent,0,final
2014,5.60134983062744,percent,0,final
2015,5.55453014373779,percent,0,final
2016,5.42795991897583,percent,0,final
2017,5.45254993438721,percent,0,final
2018,5.20438003540039,percent,0,final
2019,5.26116991043091,percent,0,final
2020,5.43936014175415,percent,0,final
2021,5.90681982040405,percent,0,final
