period,value,unit,unit_multiplier,status
1971,23.32729,number,0,final
1972,22.63746,number,0,final
1973,21.72124,number,0,final
1974,21.09322,number,0,final
1975,20.55043,number,0,final
1976,20.03306,number,0,final
1977,20.10764,number,0,final
1978,19.94377,number,0,final
1979,19.36901,number,0,final
1980,18.98941,number,0,final
1982,18.71611,number,0,final
1983,18.26122,number,0,final
1984,17.97819,number,0,final
1985,17.52049,number,0,final
1987,20.29108,number,0,final
1988,20.32558,number,0,final
1989,19.62207,number,0,final
1990,19.67982,number,0,final
1991,19.78394,number,0,final
1992,19.80669,number,0,final
1999,18.69099,number,0,final
2000,18.66476,number,0,final
2001,17.58523,number,0,final
2002,17.17514,number,0,final
2003,17.10493,number,0,final
2004,18.09401,number,0,final
2005,17.47359,number,0,final
2006,18.08045,number,0,final
2007,17.24426,number,0,final
2008,18.26999,number,0,final
2009,17.96198,number,0,final
2010,17.52706,number,0,final
2011,17.2654,number,0,final
2012,18.30825,number,0,final
2013,18.43752,number,0,final
2014,16.5528,number,0,final
2016,15.05392,number,0,final
2017,15.13275,number,0,final
