period,ref_area,value,unit,unit_multiplier,status
1998,GBR,12.48974,number,0,final
1999,GBR,12.32138,number,0,final
2000,GBR,12.72822,number,0,final
2001,GBR,13.26629,number,0,final
2002,GBR,14.41264,number,0,final
2003,GBR,16.29736,number,0,final
2004,GBR,15.87519,number,0,final
2005,GBR,17.01127,number,0,final
2006,GBR,19.733,number,0,final
2007,GBR,20.91308,number,0,final
2008,GBR,21.33528,number,0,final
2009,GBR,22.24086,number,0,final
2010,GBR,24.33356,number,0,final
2011,GBR,24.67365,number,0,final
2013,GBR,23.14708,number,0,final
2014,GBR,23.5778,number,0,final
2015,GBR,24.97949,number,0,final
2016,GBR,24.17334,number,0,final
1998,DEU,16.4901,number,0,final
2006,DEU,15.60472,number,0,final
2007,DEU,15.13138,number,0,final
2008,DEU,15.10081,number,0,final
2009,DEU,17.1887,number,0,final
2010,DEU,17.66182,number,0,final
2011,DEU,17.05452,number,0,final
2012,DEU,17.32327,number,0,final
2013,DEU,17.55396,number,0,final
2014,DEU,17.6705,number,0,final
2015,DEU,17.50845,number,0,final
2016,DEU,17.44257,number,0,final
1999,FRA,17.48975,number,0,final
2000,FRA,17.52698,number,0,final
2003,FRA,17.74476,number,0,final
2004,FRA,17.95336,number,0,final
2005,FRA,17.54639,number,0,final
2006,FRA,17.2182,number,0,final
2007,FRA,17.83394,number,0,final
2008,FRA,17.5281,number,0,final
2009,FRA,17.99072,number,0,final
2010,FRA,18.15487,number,0,final
2011,FRA,17.91099,number,0,final
2012,FRA,17.49746,number,0,final
2013,FRA,17.71386,number,0,final
2014,FRA,17.68894,number,0,final
2015,FRA,17.53958,number,0,final
2016,FRA,17.3647,number,0,final
