period,value,unit,unit_multiplier,status
2000,57.365119934082,number,0,final
2001,57.4873008728027,number,0,final
2002,61.1282196044922,number,0,final
2003,61.4559707641602,number,0,final
2004,59.4526710510254,number,0,final
2005,59.2745018005371,number,0,final
2006,59.1907196044922,number,0,final
2007,58.8450889587402,number,0,final
2008,57.4309883117676,number,0,final
2009,59.101131439209,number,0,final
2010,59.8467292785645,number,0,final
2011,59.3426704406738,number,0,final
2012,59.1535682678223,number,0,final
2013,56.7794799804688,number,0,final
2014,56.5240287780762,number,0,final
2015,56.4461288452148,number,0,final
2016,58.083869934082,number,0,final
2017,59.6282081604004,number,0,final
2018,61.1377716064453,number,0,final
2019,65.5119934082031,number,0,final
2020,69.4076614379883,number,0,final
2021,76.7543563842773,number,0,final
2022,79.7695083618164,number,0,final
2023,80.4146499633789,number,0,final
