period,ref_area,value,unit,unit_multiplier,status
1970,GBR,12.1017691205598,number,0,final
1971,GBR,11.9665133724688,number,0,final
1972,GBR,11.7308336749957,number,0,final
1973,GBR,12.2833599079853,number,0,final
1974,GBR,11.4685114384012,number,0,final
1975,GBR,11.096299207837,number,0,final
1976,GBR,11.2084796604168,number,0,final
1977,GBR,11.363415535735,number,0,final
1978,GBR,11.3301122788706,number,0,final
1979,GBR,11.963265351041,number,0,final
1980,GBR,10.8064560465514,number,0,final
1981,GBR,10.4599742367947,number,0,final
1982,GBR,10.1810731790544,number,0,final
1983,GBR,10.0563245089259,number,0,final
1984,GBR,9.75153128016993,number,0,final
1985,GBR,10.1996139081074,number,0,final
1986,GBR,10.4228978411188,number,0,final
1987,GBR,10.4826498339409,number,0,final
1988,GBR,10.4191240329265,number,0,final
1989,GBR,10.1536421746516,number,0,final
1990,GBR,10.1769845806249,number,0,final
1991,GBR,10.3045252305807,number,0,final
1992,GBR,10.0457634873754,number,0,final
1993,GBR,9.74378040332015,number,0,final
1994,GBR,9.58907208401101,number,0,final
1995,GBR,9.45102667176614,number,0,final
1996,GBR,9.75853126216864,number,0,final
1997,GBR,9.37530790788559,number,0,final
1998,GBR,9.35942825449444,number,0,final
1999,GBR,9.27036024696031,number,0,final
2000,GBR,9.37230154582975,number,0,final
2001,GBR,9.52500193970965,number,0,final
2002,GBR,9.21604321231769,number,0,final
2003,GBR,9.40083618149317,number,0,final
2004,GBR,9.35478076788979,number,0,final
2005,GBR,9.2634507993102,number,0,final
2006,GBR,9.20229684969568,number,0,final
2007,GBR,8.97579081257711,number,0,final
2008,GBR,8.63835719565399,number,0,final
2009,GBR,7.76330695463938,number,0,final
2010,GBR,7.97797355319206,number,0,final
2011,GBR,7.25917227971883,number,0,final
2012,GBR,7.55583494216069,number,0,final
2013,GBR,7.33137453615641,number,0,final
2014,GBR,6.6645615066776,number,0,final
2015,GBR,6.38967382119317,number,0,final
2016,GBR,5.9729506447581,number,0,final
2017,GBR,5.77150870171609,number,0,final
2018,GBR,5.64035331211248,number,0,final
2019,GBR,5.38832172660143,number,0,final
2020,GBR,4.79017680551393,number,0,final
2021,GBR,5.04516109767386,number,0,final
2022,GBR,4.80505795730085,number,0,final
2023,GBR,4.4477512185156,number,0,final
2024,GBR,4.22077337220883,number,0,final
1970,DEU,13.8688583952708,number,0,final
1971,DEU,13.7525733008132,number,0,final
1972,DEU,14.0418761827974,number,0,final
1973,DEU,14.6620038398886,number,0,final
1974,DEU,14.210445463005,number,0,final
1975,DEU,13.4762972573986,number,0,final
1976,DEU,14.3302579434098,number,0,final
1977,DEU,14.0876755412954,number,0,final
1978,DEU,14.5848182306418,number,0,final
1979,DEU,15.22030787308,number,0,final
1980,DEU,14.5004578956705,number,0,final
1981,DEU,14.0236876875186,number,0,final
1982,DEU,13.451608858478,number,0,final
