period,value,unit,unit_multiplier,status
2019-06,2.42,percent,0,final
2019-09,3.38,percent,0,final
2019-12,4.09,percent,0,final
2020-03,3.76,percent,0,final
2020-06,1.24,percent,0,final
2020-09,2.12,percent,0,final
2020-12,2.36,percent,0,final
2021-03,2.38,percent,0,final
2021-06,2.29,percent,0,final
2021-09,3.36,percent,0,final
2021-12,3.71,percent,0,final
2022-03,3.87,percent,0,final
2022-06,3.12,percent,0,final
2022-09,4.08,percent,0,final
2022-12,4.44,percent,0,final
2023-03,3.38,percent,0,final
2023-06,3.28,percent,0,final
2023-09,3.51,percent,0,final
2023-12,4.86,percent,0,final
2024-03,3.32,percent,0,final
2024-06,3.49,percent,0,final
2024-09,4.23,percent,0,final
2024-12,5.11,percent,0,final
2025-03,3.43,percent,0,final
2025-06,3.18,percent,0,final
2025-09,3.75,percent,0,final
2025-12,3.97,percent,0,final
2026-03,3.2,percent,0,final
