period,value,unit,unit_multiplier,status
1989-01,30.4,index,0,final
1989-02,30.4,index,0,final
1989-03,30.4,index,0,final
1989-04,30.4,index,0,final
1989-05,30.4,index,0,final
1989-06,30.4,index,0,final
1989-07,30.4,index,0,final
1989-08,30.4,index,0,final
1989-09,30.4,index,0,final
1989-10,30.4,index,0,final
1989-11,30.4,index,0,final
1989-12,30.4,index,0,final
1990-01,30.4,index,0,final
1990-02,33.2,index,0,final
1990-03,33.2,index,0,final
1990-04,33.2,index,0,final
1990-05,33.2,index,0,final
1990-06,33.2,index,0,final
1990-07,33.2,index,0,final
1990-08,33.2,index,0,final
1990-09,33.2,index,0,final
1990-10,33.6,index,0,final
1990-11,33.6,index,0,final
1990-12,33.6,index,0,final
1991-01,36.3,index,0,final
1991-02,36.3,index,0,final
1991-03,36.3,index,0,final
1991-04,36.3,index,0,final
1991-05,36.6,index,0,final
1991-06,36.6,index,0,final
1991-07,36.6,index,0,final
1991-08,36.6,index,0,final
1991-09,36.6,index,0,final
1991-10,36.7,index,0,final
1991-11,36.7,index,0,final
1991-12,36.7,index,0,final
1992-01,39,index,0,final
1992-02,39,index,0,final
1992-03,39,index,0,final
1992-04,39.1,index,0,final
1992-05,39.2,index,0,final
1992-06,39.2,index,0,final
1992-07,39.2,index,0,final
1992-08,39.2,index,0,final
1992-09,39.2,index,0,final
1992-10,39.4,index,0,final
1992-11,39.4,index,0,final
1992-12,39.4,index,0,final
1993-01,41.8,index,0,final
1993-02,41.8,index,0,final
1993-03,41.8,index,0,final
1993-04,41.8,index,0,final
1993-05,41.9,index,0,final
1993-06,41.9,index,0,final
1993-07,41.9,index,0,final
1993-08,41.9,index,0,final
1993-09,41.9,index,0,final
1993-10,42,index,0,final
1993-11,42,index,0,final
1993-12,42,index,0,final
1994-01,43.6,index,0,final
1994-02,43.6,index,0,final
1994-03,43.6,index,0,final
1994-04,43.6,index,0,final
1994-05,43.6,index,0,final
1994-06,43.8,index,0,final
1994-07,43.9,index,0,final
1994-08,43.9,index,0,final
1994-09,43.9,index,0,final
1994-10,44,index,0,final
1994-11,44,index,0,final
1994-12,44,index,0,final
1995-01,44.5,index,0,final
1995-02,45.8,index,0,final
1995-03,45.8,index,0,final
1995-04,45.8,index,0,final
1995-05,45.8,index,0,final
1995-06,45.9,index,0,final
1995-07,45.9,index,0,final
1995-08,45.9,index,0,final
1995-09,45.9,index,0,final
1995-10,45.9,index,0,final
1995-11,45.9,index,0,final
1995-12,45.9,index,0,final
1996-01,47.4,index,0,final
1996-02,47.4,index,0,final
1996-03,47.4,index,0,final
1996-04,47.4,index,0,final
1996-05,47.4,index,0,final
1996-06,47.4,index,0,final
1996-07,47.4,index,0,final
1996-08,47.4,index,0,final
1996-09,47.4,index,0,final
1996-10,47.6,index,0,final
1996-11,47.6,index,0,final
1996-12,47.6,index,0,final
1997-01,48,index,0,final
1997-02,48.6,index,0,final
1997-03,48.6,index,0,final
1997-04,48.6,index,0,final
1997-05,48.6,index,0,final
1997-06,48.6,index,0,final
1997-07,48.6,index,0,final
1997-08,48.6,index,0,final
1997-09,48.6,index,0,final
1997-10,48.6,index,0,final
1997-11,48.6,index,0,final
1997-12,48.6,index,0,final
1998-01,50.3,index,0,final
1998-02,50.3,index,0,final
1998-03,50.3,index,0,final
1998-04,50.4,index,0,final
1998-05,50.4,index,0,final
1998-06,50.7,index,0,final
1998-07,51,index,0,final
1998-08,51,index,0,final
1998-09,50.7,index,0,final
1998-10,50.8,index,0,final
1998-11,50.8,index,0,final
1998-12,50.8,index,0,final
1999-01,52.1,index,0,final
1999-02,52.3,index,0,final
1999-03,52.2,index,0,final
1999-04,52.4,index,0,final
1999-05,52.4,index,0,final
1999-06,52.5,index,0,final
1999-07,52.5,index,0,final
1999-08,52.5,index,0,final
1999-09,52.5,index,0,final
1999-10,52.5,index,0,final
1999-11,52.5,index,0,final
1999-12,52.6,index,0,final
2000-01,53.2,index,0,final
2000-02,53.2,index,0,final
2000-03,53.2,index,0,final
2000-04,53.3,index,0,final
2000-05,53.3,index,0,final
2000-06,53.3,index,0,final
2000-07,53.5,index,0,final
2000-08,53.4,index,0,final
2000-09,53.4,index,0,final
2000-10,53.2,index,0,final
2000-11,53.2,index,0,final
2000-12,53.4,index,0,final
2001-01,54.9,index,0,final
2001-02,54.9,index,0,final
2001-03,54.9,index,0,final
2001-04,55.5,index,0,final
2001-05,55.5,index,0,final
2001-06,55.5,index,0,final
2001-07,55.5,index,0,final
2001-08,56,index,0,final
2001-09,56,index,0,final
2001-10,56,index,0,final
2001-11,56,index,0,final
2001-12,56,index,0,final
2002-01,56.5,index,0,final
2002-02,56.6,index,0,final
2002-03,56.5,index,0,final
2002-04,56.9,index,0,final
2002-05,57,index,0,final
2002-06,57.3,index,0,final
2002-07,57.3,index,0,final
2002-08,57.4,index,0,final
2002-09,57.1,index,0,final
2002-10,57.1,index,0,final
2002-11,57.1,index,0,final
2002-12,57.1,index,0,final
2003-01,57.2,index,0,final
2003-02,57.3,index,0,final
2003-03,57.1,index,0,final
2003-04,57.3,index,0,final
2003-05,58.1,index,0,final
2003-06,57.8,index,0,final
2003-07,58,index,0,final
2003-08,57.9,index,0,final
2003-09,57.6,index,0,final
2003-10,57.6,index,0,final
2003-11,57.4,index,0,final
2003-12,57.2,index,0,final
2004-01,58.7,index,0,final
2004-02,59.3,index,0,final
2004-03,59,index,0,final
2004-04,60.1,index,0,final
2004-05,59.9,index,0,final
2004-06,60.4,index,0,final
2004-07,60.5,index,0,final
2004-08,60.3,index,0,final
2004-09,60.3,index,0,final
2004-10,59.9,index,0,final
2004-11,60.4,index,0,final
2004-12,60.4,index,0,final
2005-01,61.9,index,0,final
2005-02,61.9,index,0,final
2005-03,61.7,index,0,final
2005-04,62.2,index,0,final
2005-05,61.9,index,0,final
2005-06,62.5,index,0,final
2005-07,62.4,index,0,final
2005-08,62.4,index,0,final
2005-09,62.3,index,0,final
2005-10,62.5,index,0,final
2005-11,62.7,index,0,final
2005-12,62.6,index,0,final
2006-01,64,index,0,final
2006-02,64.5,index,0,final
2006-03,64.5,index,0,final
2006-04,65.3,index,0,final
2006-05,65.1,index,0,final
2006-06,65,index,0,final
2006-07,65.3,index,0,final
2006-08,65.7,index,0,final
2006-09,64.6,index,0,final
2006-10,64.5,index,0,final
2006-11,65.1,index,0,final
2006-12,64.8,index,0,final
2007-01,67.2,index,0,final
2007-02,68,index,0,final
2007-03,67.7,index,0,final
2007-04,68.1,index,0,final
2007-05,68,index,0,final
2007-06,68.1,index,0,final
2007-07,68.3,index,0,final
2007-08,68.5,index,0,final
2007-09,68.5,index,0,final
2007-10,68.2,index,0,final
2007-11,68.2,index,0,final
2007-12,68.2,index,0,final
2008-01,70.7,index,0,final
2008-02,71,index,0,final
2008-03,70.9,index,0,final
2008-04,71.4,index,0,final
2008-05,71.3,index,0,final
2008-06,71,index,0,final
2008-07,71.3,index,0,final
2008-08,71.4,index,0,final
2008-09,70.9,index,0,final
2008-10,71,index,0,final
2008-11,70.9,index,0,final
2008-12,71.1,index,0,final
2009-01,74.7,index,0,final
2009-02,75.2,index,0,final
2009-03,75,index,0,final
2009-04,75.2,index,0,final
2009-05,75.1,index,0,final
2009-06,74.4,index,0,final
2009-07,75.8,index,0,final
2009-08,75.5,index,0,final
2009-09,74.8,index,0,final
2009-10,74.8,index,0,final
2009-11,74.9,index,0,final
2009-12,75.3,index,0,final
2010-01,79.8,index,0,final
2010-02,81.3,index,0,final
2010-03,81.2,index,0,final
2010-04,81.1,index,0,final
2010-05,81.9,index,0,final
2010-06,81.6,index,0,final
2010-07,81.5,index,0,final
2010-08,82,index,0,final
2010-09,81.6,index,0,final
2010-10,81,index,0,final
2010-11,80.7,index,0,final
2010-12,80.9,index,0,final
2011-01,85.4,index,0,final
2011-02,85.9,index,0,final
2011-03,86.4,index,0,final
2011-04,87.4,index,0,final
2011-05,86.9,index,0,final
2011-06,87.3,index,0,final
2011-07,89.1,index,0,final
2011-08,87,index,0,final
2011-09,87,index,0,final
2011-10,86.4,index,0,final
2011-11,85.5,index,0,final
2011-12,86.4,index,0,final
2012-01,89.9,index,0,final
2012-02,91.4,index,0,final
2012-03,90.8,index,0,final
2012-04,91.5,index,0,final
2012-05,90.9,index,0,final
2012-06,91.1,index,0,final
2012-07,91.7,index,0,final
2012-08,91.7,index,0,final
2012-09,91.4,index,0,final
2012-10,90.7,index,0,final
2012-11,90.9,index,0,final
2012-12,90.9,index,0,final
2013-01,93.3,index,0,final
2013-02,94.2,index,0,final
2013-03,94.6,index,0,final
2013-04,94.8,index,0,final
2013-05,94.9,index,0,final
2013-06,95.2,index,0,final
2013-07,95.8,index,0,final
2013-08,94.5,index,0,final
2013-09,94.8,index,0,final
2013-10,94.1,index,0,final
2013-11,94.4,index,0,final
2013-12,94.4,index,0,final
2014-01,95.7,index,0,final
2014-02,97.5,index,0,final
2014-03,96.9,index,0,final
2014-04,98.3,index,0,final
2014-05,97.6,index,0,final
2014-06,98.2,index,0,final
2014-07,98.4,index,0,final
2014-08,97.8,index,0,final
2014-09,97.9,index,0,final
2014-10,97.9,index,0,final
2014-11,98.6,index,0,final
2014-12,98.1,index,0,final
2015-01,99,index,0,final
2015-02,100.7,index,0,final
2015-03,99.8,index,0,final
2015-04,100.7,index,0,final
2015-05,99.6,index,0,final
2015-06,99.8,index,0,final
2015-07,101.5,index,0,final
2015-08,100.5,index,0,final
2015-09,99.8,index,0,final
2015-10,99.5,index,0,final
2015-11,99.5,index,0,final
2015-12,99.5,index,0,final
