period,ref_area,value,unit,unit_multiplier,status
2000,GBR,6.9,number,0,final
2001,GBR,7,number,0,final
2002,GBR,7.1,number,0,final
2003,GBR,7.2,number,0,final
2004,GBR,6.9,number,0,final
2005,GBR,6.6,number,0,final
2006,GBR,6.6,number,0,final
2007,GBR,5.8,number,0,final
2008,GBR,5.2,number,0,final
2009,GBR,4.3,number,0,final
2010,GBR,3.7,number,0,final
2011,GBR,3.4,number,0,final
2012,GBR,3,number,0,final
2013,GBR,2.9,number,0,final
2014,GBR,3.2,number,0,final
2015,GBR,2.9,number,0,final
2016,GBR,3,number,0,final
2017,GBR,3,number,0,final
2018,GBR,3,number,0,final
2019,GBR,3.2,number,0,final
2000,DEU,9.6,number,0,final
2001,DEU,8.9,number,0,final
2002,DEU,8.8,number,0,final
2003,DEU,8.4,number,0,final
2004,DEU,7.5,number,0,final
2005,DEU,6.9,number,0,final
2006,DEU,6.6,number,0,final
2007,DEU,6.4,number,0,final
2008,DEU,5.8,number,0,final
2009,DEU,5.3,number,0,final
2010,DEU,4.8,number,0,final
2011,DEU,5.3,number,0,final
2012,DEU,4.7,number,0,final
2013,DEU,4.4,number,0,final
2014,DEU,4.3,number,0,final
2015,DEU,4.4,number,0,final
2016,DEU,4,number,0,final
2017,DEU,4,number,0,final
2018,DEU,4.1,number,0,final
2019,DEU,3.8,number,0,final
2000,FRA,13.4,number,0,final
2001,FRA,13.4,number,0,final
2002,FRA,12.5,number,0,final
2003,FRA,10.1,number,0,final
2004,FRA,8.9,number,0,final
2005,FRA,9,number,0,final
2006,FRA,7.9,number,0,final
2007,FRA,7.7,number,0,final
2008,FRA,7.1,number,0,final
2009,FRA,7,number,0,final
2010,FRA,6.5,number,0,final
2011,FRA,6.5,number,0,final
2012,FRA,5.9,number,0,final
2013,FRA,5.3,number,0,final
2014,FRA,5.4,number,0,final
2015,FRA,5.5,number,0,final
2016,FRA,5.5,number,0,final
2017,FRA,5.5,number,0,final
2018,FRA,5.2,number,0,final
2019,FRA,5.1,number,0,final
