period,value,unit,unit_multiplier,status
2017-08,23.9,minutes,0,final
2017-09,22,minutes,0,final
2017-10,21.9,minutes,0,final
2017-11,22.8,minutes,0,final
2017-12,29.6,minutes,0,final
2018-01,26.1,minutes,0,final
2018-02,25.6,minutes,0,final
2018-03,27.7,minutes,0,final
2018-04,20.1,minutes,0,final
2018-05,21.2,minutes,0,final
2018-06,21.5,minutes,0,final
2018-07,22.6,minutes,0,final
2018-08,20.6,minutes,0,final
2018-09,21.6,minutes,0,final
2018-10,21.3,minutes,0,final
2018-11,21.9,minutes,0,final
2018-12,22.4,minutes,0,final
2019-01,23,minutes,0,final
2019-02,23.6,minutes,0,final
2019-03,21.3,minutes,0,final
2019-04,21.5,minutes,0,final
2019-05,21,minutes,0,final
2019-06,22.5,minutes,0,final
2019-07,23.3,minutes,0,final
2019-08,21.3,minutes,0,final
2019-09,22.4,minutes,0,final
2019-10,23.8,minutes,0,final
2019-11,25.9,minutes,0,final
2019-12,27.9,minutes,0,final
2020-01,20.9,minutes,0,final
2020-02,22.1,minutes,0,final
2020-03,32.1,minutes,0,final
2020-04,18.5,minutes,0,final
2020-05,13.5,minutes,0,final
2020-06,14.9,minutes,0,final
2020-07,16.7,minutes,0,final
2020-08,20.1,minutes,0,final
2020-09,22.6,minutes,0,final
2020-10,25.4,minutes,0,final
2020-11,21.3,minutes,0,final
2020-12,27.9,minutes,0,final
2021-01,29.6,minutes,0,final
2021-02,18.3,minutes,0,final
2021-03,18.4,minutes,0,final
2021-04,20.3,minutes,0,final
2021-05,24.6,minutes,0,final
2021-06,30.7,minutes,0,final
2021-07,41.1,minutes,0,final
2021-08,38.6,minutes,0,final
2021-09,45.5,minutes,0,final
2021-10,53.9,minutes,0,final
2021-11,46.6,minutes,0,final
2021-12,53.4,minutes,0,final
2022-01,38.1,minutes,0,final
2022-02,42.1,minutes,0,final
2022-03,61.1,minutes,0,final
2022-04,51.3,minutes,0,final
2022-05,39.9,minutes,0,final
2022-06,51.4,minutes,0,final
2022-07,58.9,minutes,0,final
2022-08,42.6,minutes,0,final
2022-09,48,minutes,0,final
2022-10,61.3,minutes,0,final
2022-11,48.2,minutes,0,final
2022-12,92.9,minutes,0,final
2023-01,32.1,minutes,0,final
2023-02,32.3,minutes,0,final
2023-03,39.5,minutes,0,final
2023-04,28.6,minutes,0,final
2023-05,32.4,minutes,0,final
2023-06,36.8,minutes,0,final
2023-07,31.8,minutes,0,final
2023-08,31.5,minutes,0,final
2023-09,37.6,minutes,0,final
2023-10,41.7,minutes,0,final
2023-11,38.5,minutes,0,final
2023-12,46,minutes,0,final
2024-01,40.1,minutes,0,final
2024-02,36.3,minutes,0,final
2024-03,33.9,minutes,0,final
2024-04,30.4,minutes,0,final
2024-05,32.7,minutes,0,final
2024-06,34.6,minutes,0,final
2024-07,33.4,minutes,0,final
2024-08,27.4,minutes,0,final
2024-09,36,minutes,0,final
2024-10,42.3,minutes,0,final
2024-11,42.4,minutes,0,final
2024-12,47.4,minutes,0,final
2025-01,35.6,minutes,0,final
2025-02,31.4,minutes,0,final
2025-03,28.6,minutes,0,final
2025-04,27.5,minutes,0,final
2025-05,27.8,minutes,0,final
2025-06,29.6,minutes,0,final
2025-07,28.6,minutes,0,final
2025-08,27,minutes,0,final
2025-09,30.8,minutes,0,final
2025-10,32.6,minutes,0,final
2025-11,32.8,minutes,0,final
2025-12,32.7,minutes,0,final
2026-01,35.1,minutes,0,final
2026-02,28.9,minutes,0,final
2026-03,26.3,minutes,0,final
2026-04,24.4,minutes,0,final
2026-05,29.2,minutes,0,provisional
