period,ref_area,value,unit,unit_multiplier,status
1960,GBR,10.6999998092651,number,0,final
1970,GBR,9.60000038146973,number,0,final
1980,GBR,8.10000038146973,number,0,final
1985,GBR,7.40000009536743,number,0,final
1990,GBR,5.9000000954,number,0,final
1991,GBR,5.5999999046,number,0,final
1992,GBR,5.4000000954,number,0,final
1993,GBR,5.0999999046,number,0,final
1994,GBR,4.8000001907,number,0,final
1995,GBR,4.8000001907,number,0,final
1996,GBR,4.5999999046,number,0,final
1997,GBR,4.5999999046,number,0,final
1998,GBR,4.4000000954,number,0,final
1999,GBR,4.1999998093,number,0,final
2000,GBR,4.07,number,0,final
2001,GBR,4.03,number,0,final
2002,GBR,3.97,number,0,final
2003,GBR,3.94,number,0,final
2004,GBR,3.85,number,0,final
2005,GBR,3.71,number,0,final
2006,GBR,3.53,number,0,final
2007,GBR,3.38,number,0,final
2008,GBR,3.32,number,0,final
2009,GBR,3.25,number,0,final
2010,GBR,2.92,number,0,final
2011,GBR,2.87,number,0,final
2012,GBR,2.8,number,0,final
2013,GBR,2.75,number,0,final
2014,GBR,2.72,number,0,final
2015,GBR,2.6,number,0,final
2016,GBR,2.56,number,0,final
2017,GBR,2.53,number,0,final
2018,GBR,2.48,number,0,final
2019,GBR,2.44,number,0,final
2020,GBR,2.42,number,0,final
2021,GBR,2.41,number,0,final
2022,GBR,2.42,number,0,final
1960,DEU,10.5,number,0,final
1970,DEU,11.3000001907349,number,0,final
1980,DEU,11.5,number,0,final
1985,DEU,11,number,0,final
1990,DEU,10.3999996185,number,0,final
1991,DEU,10.1000003815,number,0,final
1992,DEU,9.8999996185,number,0,final
1993,DEU,9.6999998093,number,0,final
1994,DEU,9.6999998093,number,0,final
1995,DEU,9.6999998093,number,0,final
1996,DEU,9.6000003815,number,0,final
1997,DEU,9.3999996185,number,0,final
1998,DEU,9.3000001907,number,0,final
1999,DEU,9.1999998093,number,0,final
2000,DEU,9.16,number,0,final
2001,DEU,9.06,number,0,final
2002,DEU,8.92,number,0,final
2003,DEU,8.79,number,0,final
2004,DEU,8.62,number,0,final
2005,DEU,8.51,number,0,final
2006,DEU,8.37,number,0,final
2007,DEU,8.34,number,0,final
2008,DEU,8.31,number,0,final
2009,DEU,8.34,number,0,final
2010,DEU,8.34,number,0,final
2011,DEU,8.32,number,0,final
2012,DEU,8.29,number,0,final
2013,DEU,8.24,number,0,final
2014,DEU,8.19,number,0,final
2015,DEU,8.09,number,0,final
2016,DEU,8.02,number,0,final
2017,DEU,7.96,number,0,final
2018,DEU,7.94,number,0,final
2019,DEU,7.87,number,0,final
2020,DEU,7.77,number,0,final
2021,DEU,7.71,number,0,final
2022,DEU,7.64,number,0,final
2023,DEU,7.55,number,0,final
1974,FRA,10.5,number,0,final
1975,FRA,10.6000003814697,number,0,final
1976,FRA,10.6000003814697,number,0,final
1977,FRA,10.8000001907349,number,0,final
1978,FRA,10.8999996185303,number,0,final
1979,FRA,11.1000003814697,number,0,final
1980,FRA,11.1000003814697,number,0,final
1981,FRA,11.1000003814697,number,0,final
1982,FRA,11,number,0,final
1983,FRA,10.8000001907349,number,0,final
1984,FRA,10.6999998092651,number,0,final
1985,FRA,10.5,number,0,final
1986,FRA,10.3000001907349,number,0,final
1987,FRA,10.1999998092651,number,0,final
1988,FRA,10.1000003814697,number,0,final
1989,FRA,9.89999961853027,number,0,final
1990,FRA,9.6999998093,number,0,final
1991,FRA,9.6000003815,number,0,final
1992,FRA,9.3999996185,number,0,final
1993,FRA,9.3000001907,number,0,final
1994,FRA,9.1000003815,number,0,final
1995,FRA,8.8999996185,number,0,final
1996,FRA,8.8000001907,number,0,final
1997,FRA,8.6000003815,number,0,final
1998,FRA,8.3999996185,number,0,final
1999,FRA,8.3000001907,number,0,final
2000,FRA,8.14,number,0,final
2001,FRA,8,number,0,final
2002,FRA,7.88,number,0,final
2003,FRA,7.71,number,0,final
2004,FRA,7.55,number,0,final
2005,FRA,7.39,number,0,final
2006,FRA,7.27,number,0,final
2007,FRA,7.22,number,0,final
2008,FRA,7.06,number,0,final
2009,FRA,6.81,number,0,final
2010,FRA,6.57,number,0,final
2011,FRA,6.5,number,0,final
2012,FRA,6.48,number,0,final
2013,FRA,6.41,number,0,final
2014,FRA,6.35,number,0,final
2015,FRA,6.28,number,0,final
2016,FRA,6.21,number,0,final
2017,FRA,6.12,number,0,final
2018,FRA,6.04,number,0,final
2019,FRA,5.96,number,0,final
2020,FRA,5.86,number,0,final
2021,FRA,5.77,number,0,final
2022,FRA,5.65,number,0,final
