period,ref_area,value,unit,unit_multiplier,status
1960,doctors,0.8,number,0,final
1961,doctors,0.9,number,0,final
1962,doctors,0.9,number,0,final
1963,doctors,0.9,number,0,final
1964,doctors,0.9,number,0,final
1965,doctors,0.9,number,0,final
1966,doctors,0.9,number,0,final
1967,doctors,0.9,number,0,final
1968,doctors,0.9,number,0,final
1969,doctors,0.9,number,0,final
1970,doctors,0.9,number,0,final
1971,doctors,1,number,0,final
1972,doctors,1,number,0,final
1973,doctors,1.1,number,0,final
1974,doctors,1.1,number,0,final
1975,doctors,1.1,number,0,final
1976,doctors,1.2,number,0,final
1977,doctors,1.2,number,0,final
1978,doctors,1.2,number,0,final
1979,doctors,1.3,number,0,final
1990,doctors,1.614,number,0,final
1991,doctors,1.627,number,0,final
1992,doctors,1.64,number,0,final
1993,doctors,1.677,number,0,final
1994,doctors,1.691,number,0,final
1995,doctors,1.751,number,0,final
1996,doctors,1.791,number,0,final
1997,doctors,1.848,number,0,final
1998,doctors,1.893,number,0,final
1999,doctors,1.907,number,0,final
2000,doctors,1.987,number,0,final
2001,doctors,2.036,number,0,final
2002,doctors,2.107,number,0,final
2003,doctors,2.194,number,0,final
2004,doctors,2.324,number,0,final
2005,doctors,2.4,number,0,final
2006,doctors,2.45,number,0,final
2007,doctors,2.481,number,0,final
2008,doctors,2.559,number,0,final
2009,doctors,2.642,number,0,final
2010,doctors,2.645,number,0,final
2011,doctors,2.682,number,0,final
2012,doctors,2.69,number,0,final
2013,doctors,2.702,number,0,final
2014,doctors,2.738,number,0,final
2015,doctors,2.767,number,0,final
2016,doctors,2.773,number,0,final
2017,doctors,2.802,number,0,final
2018,doctors,2.828,number,0,final
2019,doctors,2.932,number,0,final
2020,doctors,3.028,number,0,final
2021,doctors,3.16,number,0,final
2022,doctors,3.143,number,0,final
2023,doctors,3.301,number,0,final
2000,nurses,8.577,number,0,final
2001,nurses,8.789,number,0,final
2002,nurses,9.093,number,0,final
2003,nurses,9.334,number,0,final
2004,nurses,9.484,number,0,final
2005,nurses,9.6,number,0,final
2006,nurses,9.443,number,0,final
2007,nurses,9.105,number,0,final
2008,nurses,9.123,number,0,final
2009,nurses,8.957,number,0,final
2010,nurses,8.859,number,0,final
2011,nurses,8.652,number,0,final
2012,nurses,8.395,number,0,final
2013,nurses,8.396,number,0,final
2014,nurses,8.394,number,0,final
2015,nurses,8.36,number,0,final
2016,nurses,8.326,number,0,final
2017,nurses,8.271,number,0,final
2018,nurses,8.497,number,0,final
2019,nurses,8.645,number,0,final
2020,nurses,8.923,number,0,final
2021,nurses,9.115,number,0,final
2022,nurses,9.061,number,0,final
2023,nurses,9.549,number,0,final
