period,ref_area,value,unit,unit_multiplier,status
2000,GBR,7.14559078,percent,0,final
2001,GBR,7.43276882,percent,0,final
2002,GBR,7.85946798,percent,0,final
2003,GBR,8.05214596,percent,0,final
2004,GBR,8.32219028,percent,0,final
2005,GBR,8.38108349,percent,0,final
2006,GBR,8.53970814,percent,0,final
2007,GBR,8.76035309,percent,0,final
2008,GBR,9.03295708,percent,0,final
2009,GBR,9.83944035,percent,0,final
2010,GBR,9.78799534,percent,0,final
2011,GBR,9.79682636,percent,0,final
2012,GBR,9.89332199,percent,0,final
2013,GBR,9.99087143,percent,0,final
2014,GBR,9.97686195,percent,0,final
2015,GBR,9.94044876,percent,0,final
2016,GBR,9.87085724,percent,0,final
2017,GBR,9.70468903,percent,0,final
2018,GBR,9.79496574,percent,0,final
2019,GBR,9.97954082,percent,0,final
2020,GBR,12.10388088,percent,0,final
2021,GBR,12.08347321,percent,0,final
2022,GBR,11.09679794,percent,0,final
2023,GBR,10.99128914,percent,0,final
2024,GBR,11.133358,percent,0,final
2000,DEU,9.75930405,percent,0,final
2001,DEU,9.78105545,percent,0,final
2002,DEU,10.028965,percent,0,final
2003,DEU,10.22255325,percent,0,final
2004,DEU,9.97466278,percent,0,final
2005,DEU,10.1068058,percent,0,final
2006,DEU,9.96236897,percent,0,final
2007,DEU,9.83482933,percent,0,final
2008,DEU,10.03185749,percent,0,final
2009,DEU,10.97003078,percent,0,final
2010,DEU,10.8311739,percent,0,final
2011,DEU,10.52106953,percent,0,final
2012,DEU,10.59356213,percent,0,final
2013,DEU,10.7432127,percent,0,final
2014,DEU,10.76819706,percent,0,final
2015,DEU,10.92317677,percent,0,final
2016,DEU,10.97133732,percent,0,final
2017,DEU,11.05091095,percent,0,final
2018,DEU,11.18380833,percent,0,final
2019,DEU,11.42805386,percent,0,final
2020,DEU,12.46780777,percent,0,final
2021,DEU,12.72403336,percent,0,final
2022,DEU,12.44708347,percent,0,final
2023,DEU,11.74428654,percent,0,final
2024,DEU,12.26655293,percent,0,final
2000,FRA,9.61744022,percent,0,final
2001,FRA,9.75719261,percent,0,final
2002,FRA,10.08250141,percent,0,final
2003,FRA,10.13474941,percent,0,final
2004,FRA,10.2117033,percent,0,final
2005,FRA,10.23720551,percent,0,final
2006,FRA,10.39764977,percent,0,final
2007,FRA,10.33418846,percent,0,final
2008,FRA,10.51340675,percent,0,final
2009,FRA,11.29095459,percent,0,final
2010,FRA,11.22430801,percent,0,final
2011,FRA,11.17601013,percent,0,final
2012,FRA,11.33749485,percent,0,final
2013,FRA,11.37891197,percent,0,final
2014,FRA,11.57935429,percent,0,final
2015,FRA,11.50032997,percent,0,final
2016,FRA,11.57036018,percent,0,final
2017,FRA,11.44944572,percent,0,final
2018,FRA,11.30847645,percent,0,final
2019,FRA,11.17058277,percent,0,final
2020,FRA,12.12949371,percent,0,final
2021,FRA,12.24894238,percent,0,final
2022,FRA,11.82888794,percent,0,final
2023,FRA,11.51974583,percent,0,final
2024,FRA,11.53530598,percent,0,final
