period,ref_area,value,unit,unit_multiplier,status
2000,GBR,2020.96813965,USD,0,final
2001,GBR,2074.59936523,USD,0,final
2002,GBR,2364.04736328,USD,0,final
2003,GBR,2773.99414063,USD,0,final
2004,GBR,3361.65625,USD,0,final
2005,GBR,3528.16162109,USD,0,final
2006,GBR,3802.56347656,USD,0,final
2007,GBR,4415.51220703,USD,0,final
2008,GBR,4280.36083984,USD,0,final
2009,GBR,3813.02758789,USD,0,final
2010,GBR,3876.33911133,USD,0,final
2011,GBR,4123.70019531,USD,0,final
2012,GBR,4204.08300781,USD,0,final
2013,GBR,4340.16992188,USD,0,final
2014,GBR,4733.37060547,USD,0,final
2015,GBR,4470.09228516,USD,0,final
2016,GBR,4043.35253906,USD,0,final
2017,GBR,3938.65234375,USD,0,final
2018,GBR,4233.62988281,USD,0,final
2019,GBR,4260.03222656,USD,0,final
2020,GBR,4865.97802734,USD,0,final
2021,GBR,5645.40136719,USD,0,final
2022,GBR,5111.81738281,USD,0,final
2023,GBR,5407.17041016,USD,0,final
2024,GBR,5860.23925781,USD,0,final
2000,DEU,2336.36230469,USD,0,final
2001,DEU,2338.12231445,USD,0,final
2002,DEU,2557.53564453,USD,0,final
2003,DEU,3139.36328125,USD,0,final
2004,DEU,3447.26977539,USD,0,final
2005,DEU,3544.56616211,USD,0,final
2006,DEU,3681.3659668,USD,0,final
2007,DEU,4162.6875,USD,0,final
2008,DEU,4647.31005859,USD,0,final
2009,DEU,4655.171875,USD,0,final
2010,DEU,4592.07128906,USD,0,final
2011,DEU,5016.23583984,USD,0,final
2012,DEU,4744.87011719,USD,0,final
2013,DEU,5080.62402344,USD,0,final
2014,DEU,5287.34423828,USD,0,final
2015,DEU,4605.59033203,USD,0,final
2016,DEU,4723.32421875,USD,0,final
2017,DEU,5039.35302734,USD,0,final
2018,DEU,5473.55712891,USD,0,final
2019,DEU,5447.31787109,USD,0,final
2020,DEU,5906.80615234,USD,0,final
2021,DEU,6653.58349609,USD,0,final
2022,DEU,6226.14208984,USD,0,final
2023,DEU,6394.62255859,USD,0,final
2024,DEU,6849.26367188,USD,0,final
2000,FRA,2161.85302734,USD,0,final
2001,FRA,2192.71557617,USD,0,final
2002,FRA,2449.75830078,USD,0,final
2003,FRA,3006.3059082,USD,0,final
2004,FRA,3458.62744141,USD,0,final
2005,FRA,3575.02514648,USD,0,final
2006,FRA,3811.55175781,USD,0,final
2007,FRA,4312.31054688,USD,0,final
2008,FRA,4807.37451172,USD,0,final
2009,FRA,4737.578125,USD,0,final
2010,FRA,4593.66308594,USD,0,final
2011,FRA,4936.95605469,USD,0,final
2012,FRA,4659.92431641,USD,0,final
2013,FRA,4884.71582031,USD,0,final
2014,FRA,5007.29736328,USD,0,final
2015,FRA,4226.62646484,USD,0,final
2016,FRA,4289.34716797,USD,0,final
2017,FRA,4436.63720703,USD,0,final
2018,FRA,4692.99511719,USD,0,final
2019,FRA,4519.98583984,USD,0,final
2020,FRA,4760.08251953,USD,0,final
2021,FRA,5364.89746094,USD,0,final
2022,FRA,4857.73388672,USD,0,final
2023,FRA,5149.0546875,USD,0,final
2024,FRA,5327.43359375,USD,0,final
