period,value,unit,unit_multiplier,status
1960,22.9,number,0,final
1961,22.5,number,0,final
1962,22.1,number,0,final
1963,21.5,number,0,final
1964,20.8,number,0,final
1965,20.2,number,0,final
1966,19.6,number,0,final
1967,19.1,number,0,final
1968,18.8,number,0,final
1969,18.4,number,0,final
1970,18.1,number,0,final
1971,17.7,number,0,final
1972,17.2,number,0,final
1973,16.7,number,0,final
1974,16.1,number,0,final
1975,15.4,number,0,final
1976,14.8,number,0,final
1977,14.1,number,0,final
1978,13.4,number,0,final
1979,12.7,number,0,final
1980,12.1,number,0,final
1981,11.4,number,0,final
1982,10.8,number,0,final
1983,10.3,number,0,final
1984,10,number,0,final
1985,9.7,number,0,final
1986,9.4,number,0,final
1987,9.1,number,0,final
1988,8.8,number,0,final
1989,8.4,number,0,final
1990,7.9,number,0,final
1991,7.3,number,0,final
1992,6.9,number,0,final
1993,6.5,number,0,final
1994,6.3,number,0,final
1995,6.1,number,0,final
1996,5.9,number,0,final
1997,5.8,number,0,final
1998,5.7,number,0,final
1999,5.6,number,0,final
2000,5.5,number,0,final
2001,5.5,number,0,final
2002,5.4,number,0,final
2003,5.3,number,0,final
2004,5.2,number,0,final
2005,5.1,number,0,final
2006,5,number,0,final
2007,4.9,number,0,final
2008,4.8,number,0,final
2009,4.6,number,0,final
2010,4.4,number,0,final
2011,4.3,number,0,final
2012,4.1,number,0,final
2013,4,number,0,final
2014,3.9,number,0,final
2015,3.9,number,0,final
2016,3.8,number,0,final
2017,3.8,number,0,final
2018,3.8,number,0,final
2019,3.8,number,0,final
2020,3.9,number,0,final
2021,3.9,number,0,final
2022,4,number,0,final
2023,4.1,number,0,final
2024,4.1,number,0,final
