period,value,unit,unit_multiplier,status
1980,53,number,0,final
1981,55,number,0,final
1982,58,number,0,final
1983,60,number,0,final
1984,63,number,0,final
1985,68,number,0,final
1986,71,number,0,final
1987,76,number,0,final
1988,80,number,0,final
1989,84,number,0,final
1990,87,number,0,final
1991,90,number,0,final
1992,92,number,0,final
1993,91,number,0,final
1994,91,number,0,final
1995,92,number,0,final
1996,92,number,0,final
1997,91,number,0,final
1998,87,number,0,final
1999,88,number,0,final
2000,88,number,0,final
2001,85,number,0,final
2002,85,number,0,final
2003,82,number,0,final
2004,81,number,0,final
2005,82,number,0,final
2006,85,number,0,final
2007,86,number,0,final
2008,86,number,0,final
2009,86,number,0,final
2010,89,number,0,final
2011,90,number,0,final
2012,92,number,0,final
2013,93,number,0,final
2014,93,number,0,final
2015,93,number,0,final
2016,92,number,0,final
2017,92,number,0,final
2018,92,number,0,final
2019,91,number,0,final
2020,91,number,0,final
2021,91,number,0,final
2022,90,number,0,final
2023,90,number,0,final
2024,89,number,0,final
