period,value,unit,unit_multiplier,status
2000,18.21689606,percent,0,final
2001,18.0472641,percent,0,final
2002,17.38844872,percent,0,final
2003,16.15265846,percent,0,final
2004,14.69727612,percent,0,final
2005,13.43031788,percent,0,final
2006,12.35013199,percent,0,final
2007,14.42544079,percent,0,final
2008,13.48400593,percent,0,final
2009,12.39581871,percent,0,final
2010,13.17372036,percent,0,final
2011,13.34486294,percent,0,final
2012,14.16525364,percent,0,final
2013,15.75939178,percent,0,final
2014,15.74380684,percent,0,final
2015,15.86555099,percent,0,final
2016,15.67987061,percent,0,final
2017,15.82855606,percent,0,final
2018,16.17838669,percent,0,final
2019,16.03681946,percent,0,final
2020,12.40982437,percent,0,final
2021,13.02287769,percent,0,final
2022,14.38128662,percent,0,final
2023,14.6293354,percent,0,final
2024,14.55540943,percent,0,final
