period,value,unit,unit_multiplier,status
2000,26,USD,0,final
2001,26.6,USD,0,final
2002,30.25,USD,0,final
2003,35.36,USD,0,final
2004,42.69,USD,0,final
2005,44.63,USD,0,final
2006,47.98,USD,0,final
2007,55.58,USD,0,final
2008,53.77,USD,0,final
2009,47.63,USD,0,final
2010,48.21,USD,0,final
2011,50.94,USD,0,final
2012,51.96,USD,0,final
2013,53.58,USD,0,final
2014,58.22,USD,0,final
2015,55.22,USD,0,final
2016,49.82,USD,0,final
2017,48.47,USD,0,final
2018,52.1,USD,0,final
2019,52.35,USD,0,final
2020,60.57,USD,0,final
2021,70,USD,0,final
2022,63.1,USD,0,final
2023,66.56,USD,0,final
2024,72,USD,0,final
