period,value,unit,unit_multiplier,status
2000,8.51,number,0,final
2001,8.23,number,0,final
2002,8.27,number,0,final
2003,7.99,number,0,final
2004,8.2,number,0,final
2005,7.9,number,0,final
2006,7.83,number,0,final
2007,7.54,number,0,final
2008,8.05,number,0,final
2009,7.94,number,0,final
2010,7.8,number,0,final
2011,8.33,number,0,final
2012,8.27,number,0,final
2013,8.74,number,0,final
2014,8.45,number,0,final
2015,8.62,number,0,final
2016,8.25,number,0,final
2017,7.98,number,0,final
2018,9.16,number,0,final
2019,9.39,number,0,final
2020,8.9,number,0,final
2021,9.55,number,0,final
