period,value,unit,unit_multiplier,status
2024-04,12390,beds,0,final
2024-05,13573,beds,0,final
2024-06,12266,beds,0,final
2024-07,12290,beds,0,final
2024-08,12364,beds,0,final
2024-09,11783,beds,0,final
2024-10,12183,beds,0,final
2024-11,12083,beds,0,final
2024-12,12065,beds,0,final
2025-01,13866,beds,0,final
2025-02,13667,beds,0,final
2025-03,13259,beds,0,final
2025-04,13335,beds,0,final
2025-05,12200,beds,0,final
2025-06,11672,beds,0,final
2025-07,12692,beds,0,final
2025-08,12535,beds,0,final
2025-09,12815,beds,0,final
2025-10,13117,beds,0,final
2025-11,13179,beds,0,final
2025-12,12838,beds,0,final
2026-01,13823,beds,0,final
2026-02,13888,beds,0,final
2026-03,13554,beds,0,final
2026-04,13612,beds,0,final
