period,value,unit,unit_multiplier,status
1990,0.0874,percent,0,final
1991,0.174,percent,0,final
1992,0.261,percent,0,final
1993,0.52,percent,0,final
1994,1.04,percent,0,final
1995,1.9,percent,0,final
1996,4.12,percent,0,final
1997,7.39,percent,0,final
1998,13.7,percent,0,final
1999,21.3,percent,0,final
2000,26.8217543508578,percent,0,final
2001,33.4810948744147,percent,0,final
2002,56.48,percent,0,final
2003,64.82,percent,0,final
2004,65.61,percent,0,final
2005,70,percent,0,final
2006,68.82,percent,0,final
2007,75.09,percent,0,final
2008,78.39,percent,0,final
2009,83.56,percent,0,final
2010,85,percent,0,final
2011,85.3799985496322,percent,0,final
2012,87.4799984242111,percent,0,final
2013,89.8441,percent,0,final
2014,91.6133009176453,percent,0,final
2015,92.0002998740234,percent,0,final
2016,94.7758006318882,percent,0,final
2017,90.4245504868553,percent,0,final
2018,90.692008988783,percent,0,final
2019,92.5166285497138,percent,0,final
2020,94.81820132,percent,0,final
2021,96.19650269,percent,0,final
2022,95.46530151,percent,0,final
2023,95.44719696,percent,0,final
2024,95.4720993,percent,0,final
