period,value,unit,unit_multiplier,status
1960,0,number,0,final
1965,0,number,0,final
1970,0,number,0,final
1975,0,number,0,final
1976,0,number,0,final
1977,0,number,0,final
1978,0,number,0,final
1979,0,number,0,final
1980,0,number,0,final
1981,0,number,0,final
1982,0,number,0,final
1983,0,number,0,final
1984,0,number,0,final
1985,0.088272091,number,0,final
1986,0.229188337,number,0,final
1987,0.510326887,number,0,final
1988,0.983272981,number,0,final
1989,1.708245688,number,0,final
1990,1.947196982,number,0,final
1991,2.196673629,number,0,final
1992,2.620448471,number,0,final
1993,3.934258199,number,0,final
1994,6.818272277,number,0,final
1995,9.901172035,number,0,final
1996,12.48025391,number,0,final
1997,15.17763081,number,0,final
1998,25.45932146,number,0,final
1999,46.36293399,number,0,final
2000,73.5759542700689,number,0,final
2001,78.064582616846,number,0,final
2002,82.6794913595582,number,0,final
2003,90.698548663637,number,0,final
2004,99.198849485824,number,0,final
2005,108.045990346443,number,0,final
2006,114.785700646085,number,0,final
2007,119.988923530842,number,0,final
2008,120.819267888243,number,0,final
2009,122.357496035675,number,0,final
2010,121.780844361683,number,0,final
2011,121.49766447536,number,0,final
2012,122.465231814068,number,0,final
2013,122.184696024755,number,0,final
2014,120.958261038047,number,0,final
2015,121.211739725133,number,0,final
2016,119.786558760596,number,0,final
2017,119.206737402819,number,0,final
2018,118.184381927412,number,0,final
2019,120.250108782533,number,0,final
2020,117.304850715261,number,0,final
2021,117.887430294308,number,0,final
2022,119.833999505569,number,0,final
2023,122.781542240418,number,0,final
2024,121.643331373201,number,0,final
