period,value,unit,unit_multiplier,status
1996,1.5754,percent,0,final
1997,1.53729,percent,0,final
1998,1.54777,percent,0,final
1999,1.62268,percent,0,final
2000,1.60963,percent,0,final
2001,1.59544,percent,0,final
2002,1.61383,percent,0,final
2003,1.58131,percent,0,final
2004,1.53089,percent,0,final
2005,1.55004,percent,0,final
2006,1.57625,percent,0,final
2007,1.6183,percent,0,final
2008,1.60901,percent,0,final
2009,1.66991,percent,0,final
2010,1.63887,percent,0,final
2011,1.64681,percent,0,final
2012,1.57587,percent,0,final
2013,1.62096,percent,0,final
2014,2.26488,percent,0,final
2015,2.27566,percent,0,final
2016,2.32051,percent,0,final
2017,2.32602,percent,0,final
2018,2.70889,percent,0,final
2019,2.6707,percent,0,final
2020,2.93993,percent,0,final
2021,2.89968,percent,0,final
2022,2.75224,percent,0,final
2023,2.67614,percent,0,final
