period,value,unit,unit_multiplier,status
1996,2485.75438,number,0,final
1997,2495.08042,number,0,final
1998,2694.02542,number,0,final
1999,2853.23907,number,0,final
2000,2893.37563,number,0,final
2001,3078.40932,number,0,final
2002,3335.62719,number,0,final
2003,3631.25708,number,0,final
2004,3818.23524,number,0,final
2005,4117.74512,number,0,final
2006,4176.43751,number,0,final
2007,4122.71329,number,0,final
2008,4077.28663,number,0,final
2009,4113.41572,number,0,final
2010,4089.20558,number,0,final
2011,3973.02377,number,0,final
2012,4017.98198,number,0,final
2013,4171.80763,number,0,final
2014,4280.79983,number,0,final
2015,4389.5625,number,0,final
2016,4434.65942,number,0,final
2017,4472.69458,number,0,final
