period,value,unit,unit_multiplier,status
1990,52.005,percent,0,final
1991,51.844,percent,0,final
1992,51.828,percent,0,final
1993,51.896,percent,0,final
1994,51.904,percent,0,final
1995,51.86,percent,0,final
1996,52.276,percent,0,final
1997,52.676,percent,0,final
1998,52.717,percent,0,final
1999,53.261,percent,0,final
2000,53.66,percent,0,final
2001,53.533,percent,0,final
2002,54.146,percent,0,final
2003,54.111,percent,0,final
2004,54.534,percent,0,final
2005,54.864,percent,0,final
2006,55.378,percent,0,final
2007,55.146,percent,0,final
2008,55.449,percent,0,final
2009,55.604,percent,0,final
2010,55.529,percent,0,final
2011,55.67,percent,0,final
2012,55.929,percent,0,final
2013,56.256,percent,0,final
2014,56.521,percent,0,final
2015,56.722,percent,0,final
2016,57.074,percent,0,final
2017,57.273,percent,0,final
2018,57.525,percent,0,final
2019,58.037,percent,0,final
2020,58.277,percent,0,final
2021,58.02,percent,0,final
2022,57.703,percent,0,final
2023,57.38,percent,0,final
2024,57.489,percent,0,final
2025,57.333,percent,0,final
