period,value,unit,unit_multiplier,status
2006,2.1,percent,0,final
2007,2.1999999999999997,percent,0,final
2008,2,percent,0,final
2009,2.1999999999999997,percent,0,final
2010,2.1999999999999997,percent,0,final
2011,2.1,percent,0,final
2012,2.1,percent,0,final
2013,2.1,percent,0,final
2014,2.1,percent,0,final
2015,1.8,percent,0,final
2016,1.9,percent,0,final
2017,2,percent,0,final
2018,2.2,percent,0,final
2019,2.1,percent,0,final
2020,2.4,percent,0,final
2021,3.9,percent,0,final
2022,4,percent,0,final
2023,3.5999999999999996,percent,0,final
2024,3.6,percent,0,final
2025,3.3000000000000003,percent,0,final
2026,3.2,percent,0,final
