period,ref_area,value,unit,unit_multiplier,status
1968,GBR,26.8,index,0,final
1969,GBR,27.9,index,0,final
1970,GBR,28,index,0,final
1971,GBR,29.3,index,0,final
1972,GBR,28.8,index,0,final
1973,GBR,28.8,index,0,final
1974,GBR,29,index,0,final
1975,GBR,27.9,index,0,final
1976,GBR,27.6,index,0,final
1977,GBR,27.1,index,0,final
1978,GBR,27.2,index,0,final
1979,GBR,27.4,index,0,final
1980,GBR,28.5,index,0,final
1981,GBR,29.7,index,0,final
1982,GBR,29.9,index,0,final
1983,GBR,29.8,index,0,final
1984,GBR,29.2,index,0,final
1985,GBR,30.4,index,0,final
1986,GBR,31.9,index,0,final
1987,GBR,33.9,index,0,final
1988,GBR,34.3,index,0,final
1989,GBR,33.4,index,0,final
1990,GBR,35.7,index,0,final
1991,GBR,35,index,0,final
1992,GBR,35,index,0,final
1993,GBR,35.1,index,0,final
1994,GBR,36,index,0,final
1995,GBR,35.5,index,0,final
1996,GBR,35.3,index,0,final
1997,GBR,35.7,index,0,final
1998,GBR,36.6,index,0,final
1999,GBR,36.8,index,0,final
2000,GBR,38.9,index,0,final
2001,GBR,37.1,index,0,final
2002,GBR,35.1,index,0,final
2003,GBR,34.9,index,0,final
2004,GBR,34.8,index,0,final
2005,GBR,35.5,index,0,final
2006,GBR,35.9,index,0,final
2007,GBR,34.4,index,0,final
2008,GBR,35.4,index,0,final
2009,GBR,35.1,index,0,final
2010,GBR,33.7,index,0,final
2011,GBR,33.2,index,0,final
2012,GBR,33.1,index,0,final
2013,GBR,32.7,index,0,final
2014,GBR,33.1,index,0,final
2015,GBR,33.3,index,0,final
2016,GBR,33.1,index,0,final
2017,GBR,32.6,index,0,final
2018,GBR,33.7,index,0,final
2019,GBR,32.8,index,0,final
2020,GBR,32.7,index,0,final
2021,GBR,32.4,index,0,final
1991,DEU,29.3,index,0,final
1992,DEU,29,index,0,final
1993,DEU,28.4,index,0,final
1994,DEU,29.1,index,0,final
1995,DEU,28.7,index,0,final
1996,DEU,28.3,index,0,final
1997,DEU,28.2,index,0,final
1998,DEU,28.1,index,0,final
1999,DEU,29,index,0,final
2000,DEU,28.7,index,0,final
2001,DEU,29.9,index,0,final
2002,DEU,29.9,index,0,final
2003,DEU,29.9,index,0,final
2004,DEU,30.1,index,0,final
2005,DEU,31.6,index,0,final
2006,DEU,31,index,0,final
2007,DEU,31.2,index,0,final
2008,DEU,30.6,index,0,final
2009,DEU,30.4,index,0,final
2010,DEU,30.2,index,0,final
2011,DEU,30.4,index,0,final
2012,DEU,30.9,index,0,final
2013,DEU,31.4,index,0,final
2014,DEU,30.8,index,0,final
2015,DEU,31.4,index,0,final
2016,DEU,31.3,index,0,final
2017,DEU,31.3,index,0,final
2018,DEU,31.9,index,0,final
2019,DEU,32.2,index,0,final
2020,DEU,32.5,index,0,final
2021,DEU,33.6,index,0,final
2022,DEU,33.7,index,0,final
1970,FRA,37.1,index,0,final
1975,FRA,35.9,index,0,final
1979,FRA,34,index,0,final
1984,FRA,33.4,index,0,final
1990,FRA,32.1,index,0,final
1996,FRA,32,index,0,final
1997,FRA,31.9,index,0,final
1998,FRA,31.7,index,0,final
1999,FRA,32.5,index,0,final
2000,FRA,32.6,index,0,final
2001,FRA,32.5,index,0,final
2002,FRA,31.8,index,0,final
2003,FRA,31.4,index,0,final
2004,FRA,30.6,index,0,final
2005,FRA,29.8,index,0,final
2006,FRA,29.7,index,0,final
2007,FRA,32.4,index,0,final
2008,FRA,33,index,0,final
2009,FRA,32.7,index,0,final
2010,FRA,33.7,index,0,final
2011,FRA,33.3,index,0,final
2012,FRA,33.1,index,0,final
2013,FRA,32.5,index,0,final
2014,FRA,32.3,index,0,final
2015,FRA,32.7,index,0,final
2016,FRA,31.9,index,0,final
2017,FRA,31.6,index,0,final
2018,FRA,32.4,index,0,final
2019,FRA,31.2,index,0,final
2020,FRA,30.7,index,0,final
2021,FRA,31.5,index,0,final
2022,FRA,31.2,index,0,final
2023,FRA,31.8,index,0,final
