period,value,unit,unit_multiplier,status
1960,18.0052585263904,number,0,final
1961,18.1146782938854,number,0,final
1962,18.168839745418,number,0,final
1963,18.3326465568954,number,0,final
1964,18.6381911430843,number,0,final
1965,18.9740251094133,number,0,final
1966,19.3070027782793,number,0,final
1967,19.6743932565804,number,0,final
1968,20.0661384581142,number,0,final
1969,20.4541312064233,number,0,final
1970,20.8561635249451,number,0,final
1971,21.2507955645521,number,0,final
1972,21.6051072936543,number,0,final
1973,21.9333749902923,number,0,final
1974,22.2604009594896,number,0,final
1975,22.5468511506935,number,0,final
1976,22.7581799342762,number,0,final
1977,22.9484562156032,number,0,final
1978,23.1487450034514,number,0,final
1979,23.3126418286961,number,0,final
1980,23.4174901224822,number,0,final
1981,23.4169013957098,number,0,final
1982,23.2564896389149,number,0,final
1983,22.9591057301413,number,0,final
1984,22.8191175941221,number,0,final
1985,23.0314538307332,number,0,final
1986,23.3334675737808,number,0,final
1987,23.5505614638003,number,0,final
1988,23.9259371391192,number,0,final
1989,24.2784391358255,number,0,final
1990,24.4261220784734,number,0,final
1991,24.5791480801617,number,0,final
1992,24.7088452452028,number,0,final
1993,24.7715545433944,number,0,final
1994,24.7915997881691,number,0,final
1995,24.7919649902199,number,0,final
1996,24.7613298471139,number,0,final
1997,24.7042601779213,number,0,final
1998,24.611989056853,number,0,final
1999,24.4894454943092,number,0,final
2000,24.3798919178771,number,0,final
2001,24.3222603622768,number,0,final
2002,24.2949023425826,number,0,final
2003,24.2919216881843,number,0,final
2004,24.2947848045532,number,0,final
2005,24.2283963922568,number,0,final
2006,24.11995306204,number,0,final
2007,24.1072449980886,number,0,final
2008,24.2466529753894,number,0,final
2009,24.5034007984281,number,0,final
2010,24.7915439530878,number,0,final
2011,25.2596313867542,number,0,final
2012,26.0082192507616,number,0,final
2013,26.7118026999132,number,0,final
2014,27.2278738789462,number,0,final
2015,27.6148270287029,number,0,final
2016,27.9357659892402,number,0,final
2017,28.2812712793968,number,0,final
2018,28.6623388103181,number,0,final
2019,29.0585514724992,number,0,final
2020,29.333782105854,number,0,final
2021,29.5030177029726,number,0,final
2022,29.8395136374628,number,0,final
2023,30.3666928484774,number,0,final
2024,30.7979315083777,number,0,final
2025,31.1099071852544,number,0,final
