period,value,unit,unit_multiplier,status
2013-06,56,days,0,final
2013-07,84,days,0,final
2013-08,98,days,0,final
2013-09,119,days,0,final
2013-10,126,days,0,final
2013-11,147,days,0,final
2013-12,161,days,0,final
2014-01,182,days,0,final
2014-02,196,days,0,final
2014-03,203,days,0,final
2014-04,224,days,0,final
2014-05,224,days,0,final
2014-06,280,days,0,final
2014-07,294,days,0,final
2014-08,266,days,0,final
2014-09,231,days,0,final
2014-10,210,days,0,final
2014-11,203,days,0,final
2014-12,189,days,0,final
2015-01,147,days,0,final
2015-02,126,days,0,final
2015-03,119,days,0,final
2015-04,84,days,0,final
2015-05,91,days,0,final
2015-06,84,days,0,final
2015-07,77,days,0,final
2015-08,70,days,0,final
2015-09,77,days,0,final
2015-10,77,days,0,final
2015-11,77,days,0,final
2015-12,84,days,0,final
2016-01,91,days,0,final
2016-02,98,days,0,final
2016-03,98,days,0,final
2016-04,91,days,0,final
2016-05,91,days,0,final
2016-06,84,days,0,final
2016-07,77,days,0,final
2016-08,70,days,0,final
2016-09,70,days,0,final
2016-10,70,days,0,final
2016-11,70,days,0,final
2016-12,70,days,0,final
2017-01,84,days,0,final
2017-02,91,days,0,final
2017-03,98,days,0,final
2017-04,91,days,0,final
2017-05,105,days,0,final
2017-06,105,days,0,final
2017-07,112,days,0,final
2017-08,98,days,0,final
2017-09,98,days,0,final
2017-10,91,days,0,final
2017-11,77,days,0,final
2017-12,77,days,0,final
2018-01,77,days,0,final
2018-02,77,days,0,final
2018-03,70,days,0,final
2018-04,77,days,0,final
2018-05,84,days,0,final
2018-06,91,days,0,final
2018-07,98,days,0,final
2018-08,105,days,0,final
2018-09,105,days,0,final
2018-10,98,days,0,final
2018-11,98,days,0,final
2018-12,98,days,0,final
2019-01,105,days,0,final
2019-02,105,days,0,final
2019-03,105,days,0,final
2019-04,91,days,0,final
2019-05,98,days,0,final
2019-06,112,days,0,final
2019-07,112,days,0,final
2019-08,112,days,0,final
2019-09,105,days,0,final
2019-10,98,days,0,final
2019-11,105,days,0,final
2019-12,112,days,0,final
2020-01,133,days,0,final
2020-02,133,days,0,final
2020-03,133,days,0,final
2020-04,112,days,0,final
2020-05,147,days,0,final
2020-06,154,days,0,final
2020-07,161,days,0,final
2020-08,154,days,0,final
2020-09,126,days,0,final
2020-10,112,days,0,final
2020-11,119,days,0,final
2020-12,126,days,0,final
2021-01,133,days,0,final
2021-02,133,days,0,final
2021-03,133,days,0,final
2021-04,133,days,0,final
2021-05,126,days,0,final
2021-06,140,days,0,final
2021-07,161,days,0,final
2021-08,182,days,0,final
2021-09,168,days,0,final
2021-10,168,days,0,final
2021-11,161,days,0,final
2021-12,154,days,0,final
2022-01,154,days,0,final
2022-02,147,days,0,final
2022-03,147,days,0,final
2022-04,140,days,0,final
2022-05,126,days,0,final
2022-06,126,days,0,final
2022-07,126,days,0,final
2022-08,119,days,0,final
2022-09,119,days,0,final
2022-10,112,days,0,final
2022-11,105,days,0,final
2022-12,98,days,0,final
2023-01,98,days,0,final
2023-02,98,days,0,final
2023-03,91,days,0,final
2023-04,91,days,0,final
2023-05,105,days,0,final
2023-06,105,days,0,final
2023-07,105,days,0,final
2023-08,105,days,0,final
2023-09,98,days,0,final
2023-10,105,days,0,final
2023-11,98,days,0,final
2023-12,98,days,0,final
2024-01,105,days,0,final
2024-02,105,days,0,final
2024-03,105,days,0,final
2024-04,98,days,0,final
2024-05,105,days,0,final
2024-06,112,days,0,final
2024-07,105,days,0,final
2024-08,98,days,0,final
2024-09,98,days,0,final
2024-10,98,days,0,final
2024-11,98,days,0,final
2024-12,98,days,0,final
2025-01,112,days,0,final
2025-02,112,days,0,final
2025-03,112,days,0,final
2025-04,98,days,0,final
2025-05,98,days,0,final
2025-06,105,days,0,final
2025-07,105,days,0,final
2025-08,98,days,0,final
2025-09,105,days,0,final
2025-10,112,days,0,final
2025-11,119,days,0,final
2025-12,133,days,0,final
2026-01,140,days,0,final
2026-02,140,days,0,final
2026-03,133,days,0,final
2026-04,126,days,0,final
