period,value,unit,unit_multiplier,status
1960,11.6954839359523,percent,0,final
1961,11.7590943668972,percent,0,final
1962,11.8040630486116,percent,0,final
1963,11.8998287437616,percent,0,final
1964,12.0565272157805,percent,0,final
1965,12.2185332607308,percent,0,final
1966,12.3739747485677,percent,0,final
1967,12.5438125723517,percent,0,final
1968,12.7248712182409,percent,0,final
1969,12.9076535373908,percent,0,final
1970,13.1063974592752,percent,0,final
1971,13.3107031386372,percent,0,final
1972,13.5028000290803,percent,0,final
1973,13.6953212456972,percent,0,final
1974,13.9059637996744,percent,0,final
1975,14.1138898749679,percent,0,final
1976,14.2998794793088,percent,0,final
1977,14.487207527572,percent,0,final
1978,14.6824909513803,percent,0,final
1979,14.8561824457077,percent,0,final
1980,14.9941785224337,percent,0,final
1981,15.0721047323467,percent,0,final
1982,15.0626178720745,percent,0,final
1983,14.9718648213764,percent,0,final
1984,14.9541604554516,percent,0,final
1985,15.1147446372884,percent,0,final
1986,15.3124935987851,percent,0,final
1987,15.4561875818232,percent,0,final
1988,15.6504023963646,percent,0,final
1989,15.812313307079,percent,0,final
1990,15.8723467853831,percent,0,final
1991,15.9255736650136,percent,0,final
1992,15.9641385979724,percent,0,final
1993,15.9763702472184,percent,0,final
1994,15.9819872361187,percent,0,final
1995,15.9941182331737,percent,0,final
1996,15.9936638234577,percent,0,final
1997,15.9779916498493,percent,0,final
1998,15.9457379399543,percent,0,final
1999,15.9046424190137,percent,0,final
2000,15.8897578485505,percent,0,final
2001,15.9091370627726,percent,0,final
2002,15.931456068173,percent,0,final
2003,15.944049006037,percent,0,final
2004,15.9607524797213,percent,0,final
2005,15.9578367640377,percent,0,final
2006,15.9311877692873,percent,0,final
2007,15.9485662135398,percent,0,final
2008,16.0367055435496,percent,0,final
2009,16.1801963230047,percent,0,final
2010,16.3383853690104,percent,0,final
2011,16.5874649936032,percent,0,final
2012,16.9733440416117,percent,0,final
2013,17.3279065798855,percent,0,final
2014,17.5840843935351,percent,0,final
2015,17.7699801979471,percent,0,final
2016,17.9162025708266,percent,0,final
2017,18.0734136212163,percent,0,final
2018,18.2557500676941,percent,0,final
2019,18.457958087858,percent,0,final
2020,18.6057953275723,percent,0,final
2021,18.7186487679579,percent,0,final
2022,18.9303147227989,percent,0,final
2023,19.238129106618,percent,0,final
2024,19.4997673608515,percent,0,final
2025,19.7026932546935,percent,0,final
