period,value,unit,unit_multiplier,status
1991,13.845,percent,0,final
1992,15.613,percent,0,final
1993,17.403,percent,0,final
1994,16.27,percent,0,final
1995,15.454,percent,0,final
1996,14.83,percent,0,final
1997,13.464,percent,0,final
1998,12.315,percent,0,final
1999,12.293,percent,0,final
2000,11.874,percent,0,final
2001,10.191,percent,0,final
2002,10.779,percent,0,final
2003,11.236,percent,0,final
2004,10.618,percent,0,final
2005,13.053,percent,0,final
2006,14.233,percent,0,final
2007,14.611,percent,0,final
2008,15.352,percent,0,final
2009,19.479,percent,0,final
2010,20.328,percent,0,final
2011,21.689,percent,0,final
2012,22.106,percent,0,final
2013,20.944,percent,0,final
2014,17.512,percent,0,final
2015,15.177,percent,0,final
2016,13.205,percent,0,final
2017,12.519,percent,0,final
2018,11.647,percent,0,final
2019,10.688,percent,0,final
2020,13.365,percent,0,final
2021,12.891,percent,0,final
2022,10.589,percent,0,final
2023,11.944,percent,0,final
2024,14.316,percent,0,final
2025,14.647,percent,0,final
