period,value,unit,unit_multiplier,status
2023-05,23.07,minutes,0,final
2023-06,18.5,minutes,0,final
2023-07,21.8,minutes,0,final
2023-08,22.4,minutes,0,final
2023-09,23.82,minutes,0,final
2023-10,23.7,minutes,0,final
2023-11,22.3,minutes,0,final
2023-12,22.77,minutes,0,final
2024-01,25.03,minutes,0,final
2024-02,24.22,minutes,0,final
2024-03,27.98,minutes,0,final
2024-04,28.57,minutes,0,final
2024-05,27.07,minutes,0,final
2024-06,25.25,minutes,0,final
2024-07,23.43,minutes,0,final
2024-08,17.4,minutes,0,final
2024-09,14.08,minutes,0,final
2024-10,10.67,minutes,0,final
2024-11,11.52,minutes,0,final
2024-12,11.45,minutes,0,final
2025-01,19.32,minutes,0,final
2025-02,21.07,minutes,0,final
2025-03,14.73,minutes,0,final
