period,value,unit,unit_multiplier,status
2005,8,percent,0,final
2006,10.8,percent,0,final
2007,7.7,percent,0,final
2008,9.7,percent,0,final
2009,7.8,percent,0,final
2010,7.9,percent,0,final
2011,6.7,percent,0,final
2012,7.1,percent,0,final
2013,11.6,percent,0,final
2014,9.9,percent,0,final
2015,9.5,percent,0,final
2016,8.4,percent,0,final
2017,7.2,percent,0,final
2018,8.6,percent,0,final
2019,7.6,percent,0,final
2020,8.5,percent,0,final
2021,5.6,percent,0,final
2022,4.6,percent,0,final
2023,8.3,percent,0,final
2024,7.9,percent,0,final
