period,ref_area,value,unit,unit_multiplier,status
1989,cpi,5.2,percent,0,final
1990,cpi,7,percent,0,final
1991,cpi,7.5,percent,0,final
1992,cpi,4.2,percent,0,final
1993,cpi,2.5,percent,0,final
1994,cpi,2,percent,0,final
1995,cpi,2.6,percent,0,final
1996,cpi,2.4,percent,0,final
1997,cpi,1.8,percent,0,final
1998,cpi,1.6,percent,0,final
1999,cpi,1.3,percent,0,final
2000,cpi,0.8,percent,0,final
2001,cpi,1.2,percent,0,final
2002,cpi,1.3,percent,0,final
2003,cpi,1.4,percent,0,final
2004,cpi,1.3,percent,0,final
2005,cpi,2.1,percent,0,final
2006,cpi,2.3,percent,0,final
2007,cpi,2.3,percent,0,final
2008,cpi,3.6,percent,0,final
2009,cpi,2.2,percent,0,final
2010,cpi,3.3,percent,0,final
2011,cpi,4.5,percent,0,final
2012,cpi,2.8,percent,0,final
2013,cpi,2.6,percent,0,final
2014,cpi,1.5,percent,0,final
2015,cpi,0,percent,0,final
2016,cpi,0.7,percent,0,final
2017,cpi,2.7,percent,0,final
2018,cpi,2.5,percent,0,final
2019,cpi,1.8,percent,0,final
2020,cpi,0.9,percent,0,final
2021,cpi,2.6,percent,0,final
2022,cpi,9.1,percent,0,final
2023,cpi,7.3,percent,0,final
2024,cpi,2.5,percent,0,final
2025,cpi,3.4,percent,0,final
2001,wages,6.1,percent,0,final
2001,wages,6.2,percent,0,final
2001,wages,5.1,percent,0,final
2001,wages,5.5,percent,0,final
2001,wages,5.2,percent,0,final
2001,wages,5.3,percent,0,final
2001,wages,4.8,percent,0,final
2001,wages,4.8,percent,0,final
2001,wages,4.6,percent,0,final
2001,wages,4.2,percent,0,final
2002,wages,3.8,percent,0,final
2002,wages,3.2,percent,0,final
2002,wages,3,percent,0,final
2002,wages,3,percent,0,final
2002,wages,3.3,percent,0,final
2002,wages,3.7,percent,0,final
2002,wages,3.8,percent,0,final
2002,wages,3.6,percent,0,final
2002,wages,3.4,percent,0,final
2002,wages,3.1,percent,0,final
2002,wages,3,percent,0,final
2002,wages,2.8,percent,0,final
2003,wages,2.5,percent,0,final
2003,wages,2.2,percent,0,final
2003,wages,2.8,percent,0,final
2003,wages,3,percent,0,final
2003,wages,3.3,percent,0,final
2003,wages,2.7,percent,0,final
2003,wages,2.7,percent,0,final
2003,wages,2.9,percent,0,final
2003,wages,3.3,percent,0,final
2003,wages,3.7,percent,0,final
2003,wages,3.9,percent,0,final
2003,wages,4.1,percent,0,final
2004,wages,5.1,percent,0,final
2004,wages,4.9,percent,0,final
2004,wages,4.7,percent,0,final
2004,wages,3.7,percent,0,final
2004,wages,4.1,percent,0,final
2004,wages,4.2,percent,0,final
2004,wages,4.1,percent,0,final
2004,wages,4.1,percent,0,final
2004,wages,4.1,percent,0,final
2004,wages,4.2,percent,0,final
2004,wages,4.2,percent,0,final
2004,wages,4.3,percent,0,final
2005,wages,4.2,percent,0,final
2005,wages,4.6,percent,0,final
2005,wages,4.5,percent,0,final
2005,wages,4.6,percent,0,final
2005,wages,4.3,percent,0,final
2005,wages,4.5,percent,0,final
2005,wages,4.6,percent,0,final
2005,wages,4.8,percent,0,final
2005,wages,5,percent,0,final
2005,wages,4.8,percent,0,final
2005,wages,4.7,percent,0,final
2005,wages,4.6,percent,0,final
2006,wages,4.2,percent,0,final
2006,wages,4.4,percent,0,final
2006,wages,4.9,percent,0,final
2006,wages,5.3,percent,0,final
2006,wages,5,percent,0,final
2006,wages,4.9,percent,0,final
2006,wages,5,percent,0,final
2006,wages,4.7,percent,0,final
2006,wages,4.1,percent,0,final
2006,wages,4,percent,0,final
2006,wages,4.2,percent,0,final
2006,wages,4.9,percent,0,final
2007,wages,5.4,percent,0,final
2007,wages,6.2,percent,0,final
2007,wages,5.8,percent,0,final
2007,wages,5.2,percent,0,final
2007,wages,4.5,percent,0,final
2007,wages,4.5,percent,0,final
2007,wages,4.6,percent,0,final
2007,wages,4.8,percent,0,final
2007,wages,5.2,percent,0,final
2007,wages,5,percent,0,final
2007,wages,4.9,percent,0,final
2007,wages,4.1,percent,0,final
2008,wages,3.8,percent,0,final
2008,wages,3.5,percent,0,final
2008,wages,4.1,percent,0,final
2008,wages,4.5,percent,0,final
2008,wages,4.7,percent,0,final
2008,wages,4.2,percent,0,final
2008,wages,3.7,percent,0,final
2008,wages,3.3,percent,0,final
2008,wages,3.1,percent,0,final
2008,wages,3.1,percent,0,final
2008,wages,2.8,percent,0,final
2008,wages,2.8,percent,0,final
2009,wages,1,percent,0,final
2009,wages,-1.8,percent,0,final
2009,wages,-2.9,percent,0,final
2009,wages,-1.8,percent,0,final
2009,wages,0.5,percent,0,final
2009,wages,1.2,percent,0,final
2009,wages,0.9,percent,0,final
2009,wages,0.8,percent,0,final
2009,wages,0.7,percent,0,final
2009,wages,0.6,percent,0,final
2009,wages,0.7,percent,0,final
2009,wages,0.7,percent,0,final
2010,wages,2,percent,0,final
2010,wages,4.6,percent,0,final
2010,wages,5,percent,0,final
2010,wages,3.8,percent,0,final
2010,wages,1.3,percent,0,final
2010,wages,1,percent,0,final
2010,wages,1.2,percent,0,final
2010,wages,1.3,percent,0,final
2010,wages,1.5,percent,0,final
2010,wages,1.7,percent,0,final
2010,wages,1.8,percent,0,final
2010,wages,1.9,percent,0,final
2011,wages,2.7,percent,0,final
2011,wages,2.6,percent,0,final
2011,wages,2.8,percent,0,final
2011,wages,2.1,percent,0,final
2011,wages,2.4,percent,0,final
2011,wages,2.5,percent,0,final
2011,wages,2.8,percent,0,final
2011,wages,2.7,percent,0,final
2011,wages,2.2,percent,0,final
2011,wages,1.9,percent,0,final
2011,wages,1.9,percent,0,final
2011,wages,1.9,percent,0,final
2012,wages,1.2,percent,0,final
2012,wages,0.8,percent,0,final
2012,wages,0.6,percent,0,final
2012,wages,1.3,percent,0,final
2012,wages,1.5,percent,0,final
2012,wages,1.6,percent,0,final
2012,wages,1.5,percent,0,final
2012,wages,1.7,percent,0,final
2012,wages,1.8,percent,0,final
2012,wages,1.7,percent,0,final
2012,wages,1.5,percent,0,final
2012,wages,1.2,percent,0,final
2013,wages,1.1,percent,0,final
2013,wages,1,percent,0,final
2013,wages,0.5,percent,0,final
2013,wages,1.4,percent,0,final
2013,wages,1.6,percent,0,final
2013,wages,2.2,percent,0,final
2013,wages,1.2,percent,0,final
2013,wages,0.8,percent,0,final
2013,wages,0.7,percent,0,final
2013,wages,0.8,percent,0,final
2013,wages,0.8,percent,0,final
2013,wages,1,percent,0,final
2014,wages,1.2,percent,0,final
2014,wages,1.7,percent,0,final
2014,wages,1.8,percent,0,final
2014,wages,0.6,percent,0,final
2014,wages,0,percent,0,final
2014,wages,-0.3,percent,0,final
2014,wages,0.5,percent,0,final
2014,wages,0.6,percent,0,final
2014,wages,0.9,percent,0,final
2014,wages,1.4,percent,0,final
2014,wages,1.7,percent,0,final
2014,wages,2,percent,0,final
2015,wages,1.8,percent,0,final
2015,wages,1.7,percent,0,final
2015,wages,2.3,percent,0,final
2015,wages,2.7,percent,0,final
2015,wages,3.1,percent,0,final
2015,wages,2.5,percent,0,final
2015,wages,2.8,percent,0,final
2015,wages,3,percent,0,final
2015,wages,2.9,percent,0,final
2015,wages,2.4,percent,0,final
2015,wages,2,percent,0,final
2015,wages,1.9,percent,0,final
2016,wages,2.2,percent,0,final
