period,value,unit,unit_multiplier,status
1970,1.50789705294204,percent,0,final
1971,1.83432771771503,percent,0,final
1972,0.313802108167172,percent,0,final
1973,-1.25254746763939,percent,0,final
1974,-3.61344972437301,percent,0,final
1975,-1.43328844610717,percent,0,final
1976,-0.593358578949811,percent,0,final
1977,0.0551351099995306,percent,0,final
1978,0.644119064686419,percent,0,final
1979,-0.178279570640728,percent,0,final
1980,1.21462434887475,percent,0,final
1981,2.61238985947786,percent,0,final
1982,1.55028160702169,percent,0,final
1983,1.0807797343564,percent,0,final
1984,0.397286079597483,percent,0,final
1985,0.677370024918344,percent,0,final
1986,-0.220092795315054,percent,0,final
1987,-1.68950941079794,percent,0,final
1988,-3.88147169402264,percent,0,final
1989,-4.65090631621984,percent,0,final
1990,-3.55031184555805,percent,0,final
1991,-1.66449946529553,percent,0,final
1992,-1.96702595518054,percent,0,final
1993,-1.66961487109581,percent,0,final
1994,-0.879081535567202,percent,0,final
1995,-0.995954431591392,percent,0,final
1996,-0.724668922297666,percent,0,final
1997,-0.0893797602849274,percent,0,final
1998,-0.317493408980745,percent,0,final
1999,-2.10815347133567,percent,0,final
2000,-1.80322397590519,percent,0,final
2001,-1.75946787442188,percent,0,final
2002,-1.96774674220137,percent,0,final
2003,-1.82204886055783,percent,0,final
2004,-2.28435751976608,percent,0,final
2005,-1.97517731781616,percent,0,final
2006,-3.10941980167091,percent,0,final
2007,-3.71636602944723,percent,0,final
2008,-3.86567706212856,percent,0,final
2009,-3.01852853421921,percent,0,final
2010,-2.75934253189814,percent,0,final
2011,-1.6237867474026,percent,0,final
2012,-3.13257837481106,percent,0,final
2013,-4.63114682704939,percent,0,final
2014,-4.97786981840052,percent,0,final
2015,-4.91700489264857,percent,0,final
2016,-5.46283821927875,percent,0,final
2017,-3.47326460218152,percent,0,final
2018,-3.88728858372976,percent,0,final
2019,-2.66245642145608,percent,0,final
2020,-2.92883387550299,percent,0,final
2021,-0.752836357784013,percent,0,final
2022,-2.06737101121871,percent,0,final
2023,-3.57676183842871,percent,0,final
2024,-2.95960422411904,percent,0,final
2025,-2.42693271936225,percent,0,final
