period,value,unit,unit_multiplier,status
1972,8.28049410549058,percent,0,final
1973,9.21939834024896,percent,0,final
1974,8.9178901576944,percent,0,final
1975,9.23416241496599,percent,0,final
1976,9.69642048028999,percent,0,final
1977,9.59977665662951,percent,0,final
1978,10.8834384829367,percent,0,final
1979,11.7914995491714,percent,0,final
1980,11.5103517391411,percent,0,final
1981,11.4847090663058,percent,0,final
1982,10.225929270268,percent,0,final
1983,10.54470074538,percent,0,final
1984,10.9524241200564,percent,0,final
1985,10.8594181069836,percent,0,final
1986,10.8843537414966,percent,0,final
1987,11.5337398753686,percent,0,final
1988,10.7221150736131,percent,0,final
1989,10.1384819795529,percent,0,final
1990,8.92450659437787,percent,0,final
1991,7.48963585946866,percent,0,final
1992,7.6026394960962,percent,0,final
1993,8.39160519973709,percent,0,final
1994,9.06443592228918,percent,0,final
1995,10.0582259567618,percent,0,final
1996,10.0977115781129,percent,0,final
1997,10.1361275056436,percent,0,final
1998,9.59215752450774,percent,0,final
1999,7.99848616556381,percent,0,final
2000,7.4624648172146,percent,0,final
2001,6.58148003988291,percent,0,final
2002,5.97460415163221,percent,0,final
2003,5.98880120236526,percent,0,final
2004,5.89458216676246,percent,0,final
2005,6.07465909477335,percent,0,final
2006,6.15511541095403,percent,0,final
2007,6.71246820313953,percent,0,final
2008,6.60706609251933,percent,0,final
2009,6.23440594954458,percent,0,final
2010,7.84040844628993,percent,0,final
2011,9.88146050986155,percent,0,final
2012,8.90323832894878,percent,0,final
2013,8.73969234659334,percent,0,final
2014,8.4224609837082,percent,0,final
2015,7.29915524862748,percent,0,final
2016,7.53580481338504,percent,0,final
2017,8.16083195755549,percent,0,final
2018,7.55563696309186,percent,0,final
2019,6.75334994473974,percent,0,final
2020,6.12765909510151,percent,0,final
2021,7.90342486310386,percent,0,final
2022,11.8284417545897,percent,0,final
2023,9.07351918240676,percent,0,final
2024,8.31995334939262,percent,0,final
