period,value,unit,unit_multiplier,status
1946,0,percent,0,final
1947,0,percent,0,final
1948,0,percent,0,final
1949,0,percent,0,final
1950,0,percent,0,final
1951,0,percent,0,final
1952,0,percent,0,final
1953,0,percent,0,final
1954,0,percent,0,final
1955,0,percent,0,final
1956,0,percent,0,final
1957,0,percent,0,final
1958,0,percent,0,final
1959,0,percent,0,final
1960,0,percent,0,final
1961,0,percent,0,final
1962,0,percent,0,final
1963,0,percent,0,final
1964,0,percent,0,final
1965,0,percent,0,final
1966,0,percent,0,final
1967,0,percent,0,final
1968,0,percent,0,final
1969,0,percent,0,final
1970,0,percent,0,final
1971,0,percent,0,final
1972,0,percent,0,final
1973,0,percent,0,final
1974,0,percent,0,final
1975,0,percent,0,final
1976,0,percent,0,final
1977,0,percent,0,final
1978,0,percent,0,final
1979,0,percent,0,final
1980,0,percent,0,final
1981,0,percent,0,final
1982,0,percent,0,final
1983,0,percent,0,final
1984,0,percent,0,final
1985,0,percent,0,final
1986,0,percent,0,final
1987,0,percent,0,final
1988,0,percent,0,final
1989,0,percent,0,final
1990,0,percent,0,final
1991,0,percent,0,final
1992,0,percent,0,final
1993,0,percent,0,final
1994,0,percent,0,final
1995,0,percent,0,final
1996,0,percent,0,final
1997,0,percent,0,final
1998,0,percent,0,final
1999,0,percent,0,final
2000,0,percent,0,final
2001,0,percent,0,final
2002,0,percent,0,final
2003,0,percent,0,final
2004,0,percent,0,final
2005,0,percent,0,final
2006,0,percent,0,final
2007,0,percent,0,final
2010,0,percent,0,final
2011,0,percent,0,final
2012,0,percent,0,final
2013,0,percent,0,final
2014,0,percent,0,final
2015,0,percent,0,final
2016,0,percent,0,final
2017,0,percent,0,final
2018,0,percent,0,final
2019,0,percent,0,final
2020,0,percent,0,final
2021,0,percent,0,final
2022,0,percent,0,final
2023,0,percent,0,final
2024,0,percent,0,final
2025,0,percent,0,final
