period,value,unit,unit_multiplier,status
1991,56.678,percent,0,final
1992,55.525,percent,0,final
1993,54.713,percent,0,final
1994,54.959,percent,0,final
1995,55.357,percent,0,final
1996,55.73,percent,0,final
1997,56.559,percent,0,final
1998,56.999,percent,0,final
1999,57.4,percent,0,final
2000,57.928,percent,0,final
2001,58.103,percent,0,final
2002,58.168,percent,0,final
2003,58.418,percent,0,final
2004,58.596,percent,0,final
2005,58.654,percent,0,final
2006,58.7,percent,0,final
2007,58.598,percent,0,final
2008,58.61,percent,0,final
2009,57.231,percent,0,final
2010,56.874,percent,0,final
2011,56.715,percent,0,final
2012,56.858,percent,0,final
2013,57.202,percent,0,final
2014,58.156,percent,0,final
2015,58.793,percent,0,final
2016,59.344,percent,0,final
2017,59.603,percent,0,final
2018,60.023,percent,0,final
2019,60.335,percent,0,final
2020,59.775,percent,0,final
2021,58.959,percent,0,final
2022,59.573,percent,0,final
2023,59.323,percent,0,final
2024,58.871,percent,0,final
2025,58.457,percent,0,final
