period,value,unit,unit_multiplier,status
1961,2.70131421328257,percent,0,final
1962,1.0986962362898,percent,0,final
1963,4.85954520244742,percent,0,final
1964,5.59481105874345,percent,0,final
1965,2.13033308666921,percent,0,final
1966,1.56744960482462,percent,0,final
1967,2.77573771112216,percent,0,final
1968,5.47269310050385,percent,0,final
1969,1.93913775370176,percent,0,final
1970,2.70858148856038,percent,0,final
1971,2.00453760135888,percent,0,final
1972,3.62637105743457,percent,0,final
1973,7.31352424220155,percent,0,final
1974,-1.67969792645223,percent,0,final
1975,-0.676870194049812,percent,0,final
1976,2.80465599545295,percent,0,final
1977,2.36335094409922,percent,0,final
1978,3.40337382855367,percent,0,final
1979,2.74677219709527,percent,0,final
1980,-2.17910220206564,percent,0,final
1981,-1.3234581733779,percent,0,final
1982,2.09306886432368,percent,0,final
1983,3.62434641923983,percent,0,final
1984,2.67092491032817,percent,0,final
1985,3.59938143817158,percent,0,final
1986,4.01232987098167,percent,0,final
1987,4.56208082572655,percent,0,final
1988,5.0321018040183,percent,0,final
1989,2.28144671930745,percent,0,final
1990,0.779266119883417,percent,0,final
1991,-1.29243974751705,percent,0,final
1992,1.29472849604493,percent,0,final
1993,3.49048744653493,percent,0,final
1994,4.95341092800692,percent,0,final
1995,3.53339096338078,percent,0,final
1996,2.61491606949487,percent,0,final
1997,4.8799853038024,percent,0,final
1998,3.24631482881618,percent,0,final
1999,2.94445869854798,percent,0,final
2000,4.52438074810904,percent,0,final
2001,2.39102229602824,percent,0,final
2002,1.70902736258567,percent,0,final
2003,3.21851612669614,percent,0,final
2004,2.32601853325993,percent,0,final
2005,2.7906547174688,percent,0,final
2006,2.18982132415704,percent,0,final
2007,2.93091133582351,percent,0,final
2008,-0.0494116727402769,percent,0,final
2009,-4.58740819226323,percent,0,final
2010,2.26054460931586,percent,0,final
2011,0.851437739020326,percent,0,final
2012,1.52826034721852,percent,0,final
2013,1.71846961308464,percent,0,final
2014,3.16017351468152,percent,0,final
2015,2.14040560033371,percent,0,final
2016,2.20652020635357,percent,0,final
2017,3.02322219840339,percent,0,final
2018,1.55133095078786,percent,0,final
2019,1.25629899760824,percent,0,final
2020,-10.047896637362,percent,0,final
2021,8.5431118453255,percent,0,final
2022,5.14970388522993,percent,0,final
2023,0.271650048355255,percent,0,final
2024,1.08027716858781,percent,0,final
2025,1.38844207858726,percent,0,final
