period,value,unit,unit_multiplier,status
1960,15323.628641145,GBP,0,final
1961,15618.3439996218,GBP,0,final
1962,15656.5060264095,GBP,0,final
1963,16294.9377258056,GBP,0,final
1964,17095.0843880322,GBP,0,final
1965,17347.4558490139,GBP,0,final
1966,17522.4995922205,GBP,0,final
1967,17912.1532167262,GBP,0,final
1968,18800.6914906503,GBP,0,final
1969,19085.7384549699,GBP,0,final
1970,19524.6865159129,GBP,0,final
1971,19833.0569103608,GBP,0,final
1972,20482.7111067345,GBP,0,final
1973,21938.2937939268,GBP,0,final
1974,21556.1992721976,GBP,0,final
1975,21411.8812069663,GBP,0,final
1976,22017.8273799837,GBP,0,final
1977,22545.596298244,GBP,0,final
1978,23311.6577053372,GBP,0,final
1979,23930.4936898844,GBP,0,final
1980,23381.0626649925,GBP,0,final
1981,23063.5915396279,GBP,0,final
1982,23554.7695677663,GBP,0,final
1983,24400.1538085665,GBP,0,final
1984,25012.2474056338,GBP,0,final
1985,25853.7914666851,GBP,0,final
1986,26828.9203252802,GBP,0,final
1987,27993.289860294,GBP,0,final
1988,29336.7220502717,GBP,0,final
1989,29928.0161928787,GBP,0,final
1990,30071.2085616955,GBP,0,final
1991,29590.9054053428,GBP,0,final
1992,29893.0776793743,GBP,0,final
1993,30862.4118121654,GBP,0,final
1994,32308.7952722115,GBP,0,final
1995,33362.0161272507,GBP,0,final
1996,34147.3459054033,GBP,0,final
1997,35721.6105928791,GBP,0,final
1998,36773.9287790406,GBP,0,final
1999,37730.7155591161,GBP,0,final
2000,39297.1366317267,GBP,0,final
2001,40082.1359356822,GBP,0,final
2002,40594.932929345,GBP,0,final
2003,41706.8303930126,GBP,0,final
2004,42434.8209023638,GBP,0,final
2005,43320.5628684438,GBP,0,final
2006,43944.9985799069,GBP,0,final
2007,44882.141312304,GBP,0,final
2008,44508.2874631479,GBP,0,final
2009,42146.5095879962,GBP,0,final
2010,42762.720840223,GBP,0,final
2011,42791.0934313474,GBP,0,final
2012,43136.7006795996,GBP,0,final
2013,43585.8731772281,GBP,0,final
2014,44628.5724578217,GBP,0,final
2015,45256.040227057,GBP,0,final
2016,45888.7099614563,GBP,0,final
2017,47019.4510419999,GBP,0,final
2018,47516.2099770322,GBP,0,final
2019,47866.9140354078,GBP,0,final
2020,42985.0392148248,GBP,0,final
2021,46491.5068836685,GBP,0,final
2022,48410.095170282,GBP,0,final
2023,47911.1540134832,GBP,0,final
2024,47900.9680144146,GBP,0,final
2025,48422.0671236369,GBP,0,final
