period,ref_area,value,unit,unit_multiplier,status
1990,GBR,16930,USD,0,final
1991,GBR,17270,USD,0,final
1992,GBR,18050,USD,0,final
1993,GBR,19060,USD,0,final
1994,GBR,20720,USD,0,final
1995,GBR,20080,USD,0,final
1996,GBR,21340,USD,0,final
1997,GBR,22810,USD,0,final
1998,GBR,23900,USD,0,final
1999,GBR,24490,USD,0,final
2000,GBR,26710,USD,0,final
2001,GBR,28170,USD,0,final
2002,GBR,29500,USD,0,final
2003,GBR,30760,USD,0,final
2004,GBR,32420,USD,0,final
2005,GBR,33170,USD,0,final
2006,GBR,34730,USD,0,final
2007,GBR,35360,USD,0,final
2008,GBR,36460,USD,0,final
2009,GBR,34990,USD,0,final
2010,GBR,36660,USD,0,final
2011,GBR,37540,USD,0,final
2012,GBR,38160,USD,0,final
2013,GBR,39410,USD,0,final
2014,GBR,40810,USD,0,final
2015,GBR,41850,USD,0,final
2016,GBR,43340,USD,0,final
2017,GBR,45940,USD,0,final
2018,GBR,46990,USD,0,final
2019,GBR,50440,USD,0,final
2020,GBR,47690,USD,0,final
2021,GBR,51840,USD,0,final
2022,GBR,60300,USD,0,final
2023,GBR,59770,USD,0,final
2024,GBR,62220,USD,0,final
2025,GBR,64210,USD,0,final
1990,DEU,19660,USD,0,final
1991,DEU,21060,USD,0,final
1992,DEU,21770,USD,0,final
1993,DEU,21920,USD,0,final
1994,DEU,22820,USD,0,final
1995,DEU,23600,USD,0,final
1996,DEU,24170,USD,0,final
1997,DEU,24600,USD,0,final
1998,DEU,25300,USD,0,final
1999,DEU,26330,USD,0,final
2000,DEU,27310,USD,0,final
2001,DEU,28470,USD,0,final
2002,DEU,29200,USD,0,final
2003,DEU,29990,USD,0,final
2004,DEU,31940,USD,0,final
2005,DEU,32580,USD,0,final
2006,DEU,35320,USD,0,final
2007,DEU,37450,USD,0,final
2008,DEU,38800,USD,0,final
2009,DEU,38400,USD,0,final
2010,DEU,40510,USD,0,final
2011,DEU,44500,USD,0,final
2012,DEU,45280,USD,0,final
2013,DEU,46950,USD,0,final
2014,DEU,48930,USD,0,final
2015,DEU,49520,USD,0,final
2016,DEU,53030,USD,0,final
2017,DEU,55520,USD,0,final
2018,DEU,58540,USD,0,final
2019,DEU,61510,USD,0,final
2020,DEU,60200,USD,0,final
2021,DEU,64730,USD,0,final
2022,DEU,71750,USD,0,final
2023,DEU,74600,USD,0,final
2024,DEU,76500,USD,0,final
2025,DEU,78140,USD,0,final
1990,FRA,17550,USD,0,final
1991,FRA,18260,USD,0,final
1992,FRA,18890,USD,0,final
1993,FRA,19200,USD,0,final
1994,FRA,19970,USD,0,final
1995,FRA,20790,USD,0,final
1996,FRA,21470,USD,0,final
1997,FRA,22480,USD,0,final
1998,FRA,23580,USD,0,final
1999,FRA,24710,USD,0,final
2000,FRA,26450,USD,0,final
2001,FRA,27870,USD,0,final
2002,FRA,28680,USD,0,final
2003,FRA,28430,USD,0,final
2004,FRA,29350,USD,0,final
2005,FRA,30980,USD,0,final
2006,FRA,33100,USD,0,final
2007,FRA,34780,USD,0,final
2008,FRA,35850,USD,0,final
2009,FRA,35520,USD,0,final
2010,FRA,36780,USD,0,final
2011,FRA,38550,USD,0,final
2012,FRA,38550,USD,0,final
2013,FRA,40530,USD,0,final
2014,FRA,41130,USD,0,final
2015,FRA,41730,USD,0,final
2016,FRA,43750,USD,0,final
2017,FRA,45370,USD,0,final
2018,FRA,47430,USD,0,final
2019,FRA,52660,USD,0,final
2020,FRA,50480,USD,0,final
2021,FRA,54160,USD,0,final
2022,FRA,58780,USD,0,final
2023,FRA,62340,USD,0,final
2024,FRA,63730,USD,0,final
2025,FRA,65110,USD,0,final
