period,value,unit,unit_multiplier,status
1970,24.803019228297,percent,0,final
1971,24.2107689779823,percent,0,final
1972,23.5772827460546,percent,0,final
1973,27.6514123215513,percent,0,final
1974,28.2092330721341,percent,0,final
1975,24.3436279444333,percent,0,final
1976,26.5003066821166,percent,0,final
1977,25.8604173297263,percent,0,final
1978,25.2292938577211,percent,0,final
1979,25.3835368295119,percent,0,final
1980,21.8204358753913,percent,0,final
1981,19.6832558485237,percent,0,final
1982,20.4946881762739,percent,0,final
1983,21.4340779130715,percent,0,final
1984,22.5662835138609,percent,0,final
1985,22.3759649155019,percent,0,final
1986,22.1262091437958,percent,0,final
1987,23.0862074939962,percent,0,final
1988,25.8494962583379,percent,0,final
1989,26.5009062473522,percent,0,final
1990,23.5558879470108,percent,0,final
1991,20.0945518746354,percent,0,final
1992,19.3151113557582,percent,0,final
1993,18.8481723359341,percent,0,final
1994,19.8743554715806,percent,0,final
1995,18.9204616566911,percent,0,final
1996,19.1254683349223,percent,0,final
1997,18.297638385084,percent,0,final
1998,18.7986884775091,percent,0,final
1999,18.5387402828054,percent,0,final
2000,18.9469377484139,percent,0,final
2001,18.7962716702215,percent,0,final
2002,18.6991795058955,percent,0,final
2003,18.3223472121232,percent,0,final
2004,18.1006116145736,percent,0,final
2005,18.4132680657531,percent,0,final
2006,18.909666594501,percent,0,final
2007,19.1749332518758,percent,0,final
2008,18.2886587771819,percent,0,final
2009,15.9866102776379,percent,0,final
2010,16.6181160375508,percent,0,final
2011,16.491680863741,percent,0,final
2012,16.5145890011547,percent,0,final
2013,17.1697393956196,percent,0,final
2014,18.4324178455585,percent,0,final
2015,18.4755209500336,percent,0,final
2016,18.5956388685899,percent,0,final
2017,19.1317371265417,percent,0,final
2018,18.8761161911788,percent,0,final
2019,19.0285140310906,percent,0,final
2020,18.2807146353402,percent,0,final
2021,18.8987416108827,percent,0,final
2022,18.3468561370256,percent,0,final
2023,18.4594014019513,percent,0,final
2024,19.1682079957281,percent,0,final
2025,19.6884002261946,percent,0,final
