period,value,unit,unit_multiplier,status
1990,62.376,percent,0,final
1991,61.977,percent,0,final
1992,61.539,percent,0,final
1993,61.027,percent,0,final
1994,60.827,percent,0,final
1995,60.628,percent,0,final
1996,60.701,percent,0,final
1997,60.863,percent,0,final
1998,60.765,percent,0,final
1999,61.091,percent,0,final
2000,61.338,percent,0,final
2001,60.966,percent,0,final
2002,61.254,percent,0,final
2003,61.368,percent,0,final
2004,61.417,percent,0,final
2005,61.666,percent,0,final
2006,62.098,percent,0,final
2007,61.942,percent,0,final
2008,62.185,percent,0,final
2009,61.994,percent,0,final
2010,61.801,percent,0,final
2011,61.778,percent,0,final
2012,61.99,percent,0,final
2013,62.009,percent,0,final
2014,62.131,percent,0,final
2015,62.25,percent,0,final
2016,62.408,percent,0,final
2017,62.412,percent,0,final
2018,62.619,percent,0,final
2019,62.625,percent,0,final
2020,62.573,percent,0,final
2021,61.973,percent,0,final
2022,61.905,percent,0,final
2023,61.811,percent,0,final
2024,61.556,percent,0,final
2025,61.369,percent,0,final
