period,value,unit,unit_multiplier,status
1971,42.3,index,0,final
1972,43.5,index,0,final
1973,45.5,index,0,final
1974,44.7,index,0,final
1975,45,index,0,final
1976,46.7,index,0,final
1977,47.5,index,0,final
1978,49,index,0,final
1979,50.1,index,0,final
1980,50.2,index,0,final
1981,52.4,index,0,final
1982,54.8,index,0,final
1983,57.7,index,0,final
1984,57.4,index,0,final
1985,59,index,0,final
1986,60.5,index,0,final
1987,62.3,index,0,final
1988,63.3,index,0,final
1989,63.1,index,0,final
1990,63.7,index,0,final
1991,65.7,index,0,final
1992,67.9,index,0,final
1993,70.3,index,0,final
1994,71.5,index,0,final
1995,72.1,index,0,final
1996,73.6,index,0,final
1997,75.3,index,0,final
1998,77.2,index,0,final
1999,78.8,index,0,final
2000,82.3,index,0,final
2001,83.4,index,0,final
2002,84.8,index,0,final
2003,87.1,index,0,final
2004,88.1,index,0,final
2005,89.7,index,0,final
2006,91.2,index,0,final
2007,93,index,0,final
2008,92.7,index,0,final
2009,91.1,index,0,final
2010,92.8,index,0,final
2011,93.3,index,0,final
2012,93,index,0,final
2013,92.7,index,0,final
2014,93.1,index,0,final
2015,93.4,index,0,final
2016,94.3,index,0,final
2017,96.3,index,0,final
2018,96.9,index,0,final
2019,96.7,index,0,final
2020,98.2,index,0,final
2021,99.6,index,0,final
2022,100.4,index,0,final
2023,100,index,0,final
2024,99.2,index,0,final
2025,99.4,index,0,final
