period,value,unit,unit_multiplier,status
1993,234.9,GBP,9,final
1994,278.4,GBP,9,final
1995,313.6,GBP,9,final
1996,341.9,GBP,9,final
1997,365,GBP,9,final
1998,364.3,GBP,9,final
1999,368.3,GBP,9,final
2000,333.3,GBP,9,final
2001,335.5,GBP,9,final
2002,368.7,GBP,9,final
2003,404.6,GBP,9,final
2004,463.8,GBP,9,final
2005,503.5,GBP,9,final
2006,539,GBP,9,final
2007,574.7,GBP,9,final
2008,749.9,GBP,9,final
2009,958.6,GBP,9,final
2010,1152.5,GBP,9,final
2011,1250.6,GBP,9,final
2012,1354.3,GBP,9,final
2013,1452.6,GBP,9,final
2014,1550.8,GBP,9,final
2015,1602.9,GBP,9,final
2016,1690.7,GBP,9,final
2017,1744.7,GBP,9,final
2018,1798.8,GBP,9,final
2019,1837.6,GBP,9,final
2020,2152.7,GBP,9,final
2021,2364.9,GBP,9,final
2022,2501.4,GBP,9,final
2023,2695.7,GBP,9,final
2024,2815.4,GBP,9,final
2025,2925.5,GBP,9,final
