period,value,unit,unit_multiplier,status
1993,29.7,percent,0,final
1994,33.6,percent,0,final
1995,35.7,percent,0,final
1996,36.7,percent,0,final
1997,37.2,percent,0,final
1998,35.6,percent,0,final
1999,34.2,percent,0,final
2000,29.5,percent,0,final
2001,28.7,percent,0,final
2002,30.1,percent,0,final
2003,31.2,percent,0,final
2004,34,percent,0,final
2005,34.9,percent,0,final
2006,35.7,percent,0,final
2007,36.1,percent,0,final
2008,47.6,percent,0,final
2009,60.6,percent,0,final
2010,70.1,percent,0,final
2011,73.8,percent,0,final
2012,77.3,percent,0,final
2013,79.2,percent,0,final
2014,81.5,percent,0,final
2015,81.7,percent,0,final
2016,82.5,percent,0,final
2017,81.7,percent,0,final
2018,81.3,percent,0,final
2019,84.2,percent,0,final
2020,97.6,percent,0,final
2021,96.2,percent,0,final
2022,93.1,percent,0,final
2023,95.6,percent,0,final
2024,94.7,percent,0,final
2025,94.7,percent,0,final
