period,value,unit,unit_multiplier,status
1955,6123,GBP,0,final
1956,6239,GBP,0,final
1957,6316,GBP,0,final
1958,6418,GBP,0,final
1959,6722,GBP,0,final
1960,7115,GBP,0,final
1961,7358,GBP,0,final
1962,7388,GBP,0,final
1963,7633,GBP,0,final
1964,7926,GBP,0,final
1965,8036,GBP,0,final
1966,8171,GBP,0,final
1967,8239,GBP,0,final
1968,8344,GBP,0,final
1969,8387,GBP,0,final
1970,8678,GBP,0,final
1971,8768,GBP,0,final
1972,9508,GBP,0,final
1973,10099,GBP,0,final
1974,10024,GBP,0,final
1975,10118,GBP,0,final
1976,10113,GBP,0,final
1977,9931,GBP,0,final
1978,10637,GBP,0,final
1979,11259,GBP,0,final
1980,11438,GBP,0,final
1981,11423,GBP,0,final
1982,11473,GBP,0,final
1983,11722,GBP,0,final
1984,12127,GBP,0,final
1985,12606,GBP,0,final
1986,13116,GBP,0,final
1987,13308,GBP,0,final
1988,14021,GBP,0,final
1989,14727,GBP,0,final
1990,15301,GBP,0,final
1991,15578,GBP,0,final
1992,15988,GBP,0,final
1993,16277,GBP,0,final
1994,16504,GBP,0,final
1995,16945,GBP,0,final
1996,17383,GBP,0,final
1997,17706,GBP,0,final
1998,17815,GBP,0,final
1999,18488,GBP,0,final
2000,19429,GBP,0,final
2001,20049,GBP,0,final
2002,20361,GBP,0,final
2003,20719,GBP,0,final
2004,21166,GBP,0,final
2005,21538,GBP,0,final
2006,21792,GBP,0,final
2007,22533,GBP,0,final
2008,22244,GBP,0,final
2009,22443,GBP,0,final
2010,22437,GBP,0,final
2011,21772,GBP,0,final
2012,22209,GBP,0,final
2013,22537,GBP,0,final
2014,23011,GBP,0,final
2015,24298,GBP,0,final
2016,24288,GBP,0,final
2017,24409,GBP,0,final
2018,24781,GBP,0,final
2019,25250,GBP,0,final
2020,25145,GBP,0,final
2021,25418,GBP,0,final
2022,24564,GBP,0,final
2023,24451,GBP,0,final
2024,25202,GBP,0,final
2025,25320,GBP,0,final
