period,value,unit,unit_multiplier,status
1998,1.663,ratio,0,final
1999,1.664,ratio,0,final
2000,1.682,ratio,0,final
2001,1.655,ratio,0,final
2002,1.647,ratio,0,final
2003,1.653,ratio,0,final
2004,1.654,ratio,0,final
2005,1.682,ratio,0,final
2006,1.688,ratio,0,final
2007,1.74,ratio,0,final
2008,1.712,ratio,0,final
2009,1.708,ratio,0,final
2010,1.715,ratio,0,final
2011,1.72,ratio,0,final
2012,1.725,ratio,0,final
2013,1.733,ratio,0,final
2014,1.762,ratio,0,final
2015,1.762,ratio,0,final
2016,1.801,ratio,0,final
2017,1.786,ratio,0,final
2018,1.79,ratio,0,final
2019,1.775,ratio,0,final
2020,1.73,ratio,0,final
2021,1.742,ratio,0,final
2022,1.782,ratio,0,final
2023,1.787,ratio,0,final
