period,value,unit,unit_multiplier,status
1970,24.7644314803341,percent,0,final
1971,23.7582033728037,percent,0,final
1972,22.4110659060184,percent,0,final
1973,23.2248298907832,percent,0,final
1974,20.3641140481129,percent,0,final
1975,19.6150369222964,percent,0,final
1976,20.9257609381996,percent,0,final
1977,22.0709592452819,percent,0,final
1978,22.4252532810824,percent,0,final
1979,21.5402419316732,percent,0,final
1980,19.9347694804696,percent,0,final
1981,18.6894030314546,percent,0,final
1982,18.5265933852278,percent,0,final
1983,19.1717239448277,percent,0,final
1984,19.4698306741981,percent,0,final
1985,18.9824373068993,percent,0,final
1986,17.7838942566601,percent,0,final
1987,18.021217837646,percent,0,final
1988,18.1976558672281,percent,0,final
1989,17.9090874439137,percent,0,final
1990,16.6298493148781,percent,0,final
1991,15.9431947601745,percent,0,final
1992,14.932794771946,percent,0,final
1993,14.7793932839736,percent,0,final
1994,16.9391682217919,percent,0,final
1995,15.7324599373762,percent,0,final
1996,15.9150616407393,percent,0,final
1997,16.5626870565254,percent,0,final
1998,17.9072294257975,percent,0,final
1999,16.4009026873643,percent,0,final
2000,17.0959853807884,percent,0,final
2001,17.0148152466029,percent,0,final
2002,16.7124245110268,percent,0,final
2003,16.4970008953534,percent,0,final
2004,15.7863531789456,percent,0,final
2005,16.41881504271,percent,0,final
2006,15.8075660062432,percent,0,final
2007,15.4620465991055,percent,0,final
2008,14.4242378566369,percent,0,final
2009,12.9379759647567,percent,0,final
2010,13.8581873866829,percent,0,final
2011,14.8642962389978,percent,0,final
2012,13.3983595552922,percent,0,final
2013,12.652992730579,percent,0,final
2014,13.6216050281886,percent,0,final
2015,13.6955558156759,percent,0,final
2016,13.3480290259192,percent,0,final
2017,15.7531873531931,percent,0,final
2018,15.1527876787517,percent,0,final
2019,16.5464399806794,percent,0,final
2020,15.5605971990805,percent,0,final
2021,18.1443057036608,percent,0,final
2022,16.4281012912124,percent,0,final
2023,14.889141661081,percent,0,final
2024,16.7550572595951,percent,0,final
2025,17.1796140057167,percent,0,final
